dataset,dataset_label,horizon_year,anchor_overall_risk_prob,neutral_overall_risk_prob,delta_risk_anchor_minus_neutral,anchor_cure_fraction,neutral_cure_fraction,delta_cure_fraction_anchor_minus_neutral
PNU,PNU,1,0.21851557593261497,0.2339015896976611,-0.015386013765046114,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,2,0.2835175607287873,0.31655549203313765,-0.03303793130435034,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,3,0.31944442679771395,0.366463804383109,-0.04701937758539504,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,4,0.34320684152390857,0.4015027036031501,-0.058295862079241534,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,5,0.3604394409288514,0.4280888799316835,-0.0676494390028321,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,6,0.37367046484470756,0.44925942249686024,-0.07558895765215268,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,7,0.3842347266671254,0.4666868704105638,-0.0824521437434384,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,8,0.39291495239858226,0.4813869251860989,-0.08847197278751662,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,9,0.40020540938166677,0.49402047876450794,-0.09381506938284118,0.4960771187148672,0.2666996773946655,0.2293774413202017
PNU,PNU,10,0.4064359684720909,0.5050403176653526,-0.09860434919326172,0.4960771187148672,0.2666996773946655,0.2293774413202017
SNU,SNU,1,0.08655282457658876,0.08675692547838469,-2.0410090179592832e-4,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,2,0.13602389124398626,0.1363730203725871,-3.4912912860085576e-4,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,3,0.1718484504193597,0.17270760411795258,-8.591536985928794e-4,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,4,0.20013975143051316,0.20166990094061116,-0.001530149510098,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,5,0.22355951777562433,0.22583406846304444,-0.002274550687420107,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,6,0.24354125949886282,0.2465913109488058,-0.00305005144994297,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,7,0.2609556642971323,0.2647901104647239,-0.0038344461675915986,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,8,0.27637498078034195,0.28099045583253207,-0.004615475052190121,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,9,0.29019706696938774,0.2955832634767058,-0.005386196507318086,0.24684737522007755,0.14982404227848464,0.0970233329415929
SNU,SNU,10,0.30271049132329786,0.30885316817305225,-0.0061426768497543915,0.24684737522007755,0.14982404227848464,0.0970233329415929
merged_no_site,Merged,1,0.11267056069660632,0.1128633301170319,-1.9276942042557865e-4,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,2,0.1664730597689998,0.16756686117547087,-0.0010938014064710844,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,3,0.20360243288641805,0.20594557282762369,-0.0023431399412056353,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,4,0.23212169145968786,0.23580035438718674,-0.0036786629274988825,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,5,0.2552870759271691,0.26030247801750295,-0.005015402090333854,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,6,0.2747753030538287,0.28109653460317036,-0.006321231549341666,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,7,0.29157318264975607,0.29915692883619216,-0.007583746186436091,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,8,0.3063139256590288,0.3151127948697905,-0.008798869210761673,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,9,0.3194294341891431,0.3293957136693348,-0.009966279480191687,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_no_site,Merged,10,0.3312280651421025,0.3423154475070159,-0.011087382364913412,0.26453370127603937,0.14659846924900752,0.11793523202703185
merged_site_adjusted,Merged (site-adjusted),1,0.1137198124190968,0.11537912579182721,-0.0016593133727304116,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),2,0.16942049766503564,0.1715579351968062,-0.002137437531770564,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),3,0.20828392981398086,0.2110140132846121,-0.0027300834706312505,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),4,0.2383514627789961,0.24172742176211717,-0.003375958983121069,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),5,0.26290515426613276,0.26694565266124354,-0.004040498395110781,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),6,0.28364812407913703,0.28835423455046094,-0.00470611047132391,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),7,0.3015888911117912,0.3069525409216115,-0.005363649809820292,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),8,0.31737790013343287,0.3233862280091399,-0.006008327875707042,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),9,0.33146074000972725,0.33809845250956666,-0.00663771249983941,0.2122159958418444,0.1333561388453848,0.07885985699645959
merged_site_adjusted,Merged (site-adjusted),10,0.34415674457772216,0.35140743884306647,-0.007250694265344304,0.2122159958418444,0.1333561388453848,0.07885985699645959
