dataset,dataset_label,model_id,prior_branch,site_adjustment_flag,structural_model_id,formula_anchor,summary_level,time_unit,n_subjects,n_posterior_draws,metric,metric_label,posterior_mean,posterior_sd,q025,q50,q975
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,PNU-L0,base,cohort_level_conditional_on_uncured,years,54,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),45.18729108925826,215.23396772534585,0.6714263132993055,6.696505818346164,332.24606104765905
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,PNU-L0,base,cohort_level_conditional_on_uncured,years,54,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),1.7356576657566742,1.9527990178608015,0.2347627270517331,1.1559253153937332,6.977295416876688
PNU,PNU,PNU-L0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,PNU-L0,base,cohort_level_conditional_on_uncured,years,54,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),318.57711402805023,1743.7127954767896,1.1248609871521131,31.41557367493442,2251.739217300523
PNU,PNU,PNU-L0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,PNU-L0,base,cohort_level_conditional_on_uncured,years,54,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),4.07395732329922,4.681575958045291,0.3543352826484004,2.7926524146678213,15.256680789752211
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,SNU-L0,base,cohort_level_conditional_on_uncured,years,208,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),791.5721291065827,1790.7262452656337,27.012997847912445,297.5028213553599,4628.191238877837
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,SNU-L0,base,cohort_level_conditional_on_uncured,years,208,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),20.720370688474603,13.154664901518553,3.7700248014215667,17.944142110393404,53.72122930637327
SNU,SNU,SNU-L0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,SNU-L0,base,cohort_level_conditional_on_uncured,years,208,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),1391.5020920188153,2996.8213452941054,39.77477358738993,560.0751892874102,10374.456047560205
SNU,SNU,SNU-L0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,SNU-L0,base,cohort_level_conditional_on_uncured,years,208,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),27.487944159523092,17.058665168268252,5.391481075635284,23.80356897882556,69.58963077773276
merged_no_site,Merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,anchor_informed,FALSE,MERGED-I0-L0S0,base,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),833.7531151983322,1718.9471910050597,17.101005814515137,323.7256569133315,4780.538586782168
merged_no_site,Merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,anchor_informed,FALSE,MERGED-I0-L0S0,base,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),15.481557732735668,9.375590532582473,2.895847857940449,13.73014918162578,42.00322907020016
merged_no_site,Merged,MERGED-I0-L0S0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,MERGED-I0-L0S0,base,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),2028.7764727738963,5711.245058012011,46.382990328437586,624.162461260416,13475.51702990134
merged_no_site,Merged,MERGED-I0-L0S0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,MERGED-I0-L0S0,base,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),22.36488777004256,14.14066957076581,4.654057780493716,19.778262957622825,58.834577300884106
merged_site_adjusted,Merged (site-adjusted),MERGED-I1-L0S1-LN-ANCH-N01,anchor_informed,TRUE,MERGED-I1-L0S1,site_added,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),915.8430934950875,2059.811048441641,22.384085763039444,284.3191431380948,5849.042134346884
merged_site_adjusted,Merged (site-adjusted),MERGED-I1-L0S1-LN-ANCH-N01,anchor_informed,TRUE,MERGED-I1-L0S1,site_added,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),16.880823810057016,10.628951156834734,3.3280988110317393,14.772246332756012,44.8015933709621
merged_site_adjusted,Merged (site-adjusted),MERGED-I1-L0S1-LN-ANCH-N01__neutral,neutral_no_external_info,TRUE,MERGED-I1-L0S1,site_added,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_mean_time_to_transition_years,Mean time to transition among uncured subgroup (years),1178.7218170835486,2215.384181461442,45.415878040604326,553.3451882063264,7109.352685168982
merged_site_adjusted,Merged (site-adjusted),MERGED-I1-L0S1-LN-ANCH-N01__neutral,neutral_no_external_info,TRUE,MERGED-I1-L0S1,site_added,cohort_level_conditional_on_uncured,years,262,400,uncured_latency_median_time_to_transition_years,Median time to transition among uncured subgroup (years),20.741964754589183,11.073248934968303,4.663842624804103,19.26558600482312,49.959317358979106
