dataset_variant,dataset_group,model_family,model_scope,probability_type,horizon_year,estimate_probability,interval_type,uncertainty_sd,interval_lower_95,interval_median_50,interval_upper_95
PNU,PNU,Bayesian transition-only cure,overall,risk,1,0.223898,95% CrI,0.05605,0.130389,0.219907,0.35699
PNU,PNU,Bayesian transition-only cure,overall,risk,2,0.289526,95% CrI,0.069144,0.156445,0.288209,0.436714
PNU,PNU,Bayesian transition-only cure,overall,risk,3,0.325737,95% CrI,0.078765,0.170982,0.325101,0.494518
PNU,PNU,Bayesian transition-only cure,overall,risk,4,0.349679,95% CrI,0.086453,0.183428,0.350087,0.5318
PNU,PNU,Bayesian transition-only cure,overall,risk,5,0.367047,95% CrI,0.092805,0.190662,0.365071,0.554831
PNU,PNU,Bayesian transition-only cure,overall,risk,6,0.38039,95% CrI,0.098174,0.195454,0.377594,0.576898
PNU,PNU,Bayesian transition-only cure,overall,risk,7,0.39105,95% CrI,0.102792,0.198863,0.387082,0.597268
PNU,PNU,Bayesian transition-only cure,overall,risk,8,0.399816,95% CrI,0.106822,0.203262,0.397485,0.61069
PNU,PNU,Bayesian transition-only cure,overall,risk,9,0.407184,95% CrI,0.110381,0.205908,0.402998,0.62521
PNU,PNU,Bayesian transition-only cure,overall,risk,10,0.413486,95% CrI,0.113555,0.207999,0.407291,0.638672
PNU,PNU,Bayesian transition-only cure,overall,survival,1,0.776102,95% CrI,0.05605,0.64301,0.780093,0.869611
PNU,PNU,Bayesian transition-only cure,overall,survival,2,0.710474,95% CrI,0.069144,0.563286,0.711791,0.843555
PNU,PNU,Bayesian transition-only cure,overall,survival,3,0.674263,95% CrI,0.078765,0.505482,0.674899,0.829018
PNU,PNU,Bayesian transition-only cure,overall,survival,4,0.650321,95% CrI,0.086453,0.4682,0.649913,0.816572
PNU,PNU,Bayesian transition-only cure,overall,survival,5,0.632953,95% CrI,0.092805,0.445169,0.634929,0.809338
PNU,PNU,Bayesian transition-only cure,overall,survival,6,0.61961,95% CrI,0.098174,0.423102,0.622406,0.804546
PNU,PNU,Bayesian transition-only cure,overall,survival,7,0.60895,95% CrI,0.102792,0.402732,0.612918,0.801137
PNU,PNU,Bayesian transition-only cure,overall,survival,8,0.600184,95% CrI,0.106822,0.38931,0.602515,0.796738
PNU,PNU,Bayesian transition-only cure,overall,survival,9,0.592816,95% CrI,0.110381,0.37479,0.597002,0.794092
PNU,PNU,Bayesian transition-only cure,overall,survival,10,0.586514,95% CrI,0.113555,0.361328,0.592709,0.792001
PNU,PNU,Bayesian transition-only cure,susceptible,risk,1,0.491198,95% CrI,0.16778,0.223044,0.466581,0.809953
PNU,PNU,Bayesian transition-only cure,susceptible,risk,2,0.620028,95% CrI,0.172537,0.31451,0.604247,0.921425
PNU,PNU,Bayesian transition-only cure,susceptible,risk,3,0.687971,95% CrI,0.166991,0.371509,0.683396,0.955888
PNU,PNU,Bayesian transition-only cure,susceptible,risk,4,0.73164,95% CrI,0.160026,0.416323,0.740148,0.973081
PNU,PNU,Bayesian transition-only cure,susceptible,risk,5,0.762676,95% CrI,0.153262,0.452627,0.775245,0.982146
PNU,PNU,Bayesian transition-only cure,susceptible,risk,6,0.786143,95% CrI,0.147045,0.482607,0.803066,0.987453
PNU,PNU,Bayesian transition-only cure,susceptible,risk,7,0.804653,95% CrI,0.141413,0.505514,0.826298,0.990941
PNU,PNU,Bayesian transition-only cure,susceptible,risk,8,0.819711,95% CrI,0.136321,0.523412,0.843295,0.993092
PNU,PNU,Bayesian transition-only cure,susceptible,risk,9,0.832252,95% CrI,0.131705,0.540918,0.856026,0.9946
PNU,PNU,Bayesian transition-only cure,susceptible,risk,10,0.842893,95% CrI,0.127506,0.556513,0.867574,0.995725
PNU,PNU,Bayesian transition-only cure,susceptible,survival,1,0.508802,95% CrI,0.16778,0.190047,0.533419,0.776956
PNU,PNU,Bayesian transition-only cure,susceptible,survival,2,0.379972,95% CrI,0.172537,0.078575,0.395753,0.68549
PNU,PNU,Bayesian transition-only cure,susceptible,survival,3,0.312029,95% CrI,0.166991,0.044112,0.316604,0.628491
PNU,PNU,Bayesian transition-only cure,susceptible,survival,4,0.26836,95% CrI,0.160026,0.026919,0.259852,0.583677
PNU,PNU,Bayesian transition-only cure,susceptible,survival,5,0.237324,95% CrI,0.153262,0.017854,0.224755,0.547373
PNU,PNU,Bayesian transition-only cure,susceptible,survival,6,0.213857,95% CrI,0.147045,0.012547,0.196934,0.517393
PNU,PNU,Bayesian transition-only cure,susceptible,survival,7,0.195347,95% CrI,0.141413,0.009059,0.173702,0.494486
PNU,PNU,Bayesian transition-only cure,susceptible,survival,8,0.180289,95% CrI,0.136321,0.006908,0.156705,0.476588
PNU,PNU,Bayesian transition-only cure,susceptible,survival,9,0.167748,95% CrI,0.131705,0.0054,0.143974,0.459082
PNU,PNU,Bayesian transition-only cure,susceptible,survival,10,0.157107,95% CrI,0.127506,0.004275,0.132426,0.443487
PNU,PNU,Frequentist mixture cure,overall,risk,1,0.241488,95% CI,0.058274,0.12018,0.222192,0.349545
PNU,PNU,Frequentist mixture cure,overall,risk,2,0.303494,95% CI,0.070101,0.141194,0.278297,0.421442
