model,interval_type,1 year estimate,1 year lower_95,1 year upper_95,2 year estimate,2 year lower_95,2 year upper_95,3 year estimate,3 year lower_95,3 year upper_95,4 year estimate,4 year lower_95,4 year upper_95,5 year estimate,5 year lower_95,5 year upper_95,6 year estimate,6 year lower_95,6 year upper_95,7 year estimate,7 year lower_95,7 year upper_95,8 year estimate,8 year lower_95,8 year upper_95,9 year estimate,9 year lower_95,9 year upper_95,10 year estimate,10 year lower_95,10 year upper_95
KM benchmark [merged],95% CI,0.09152,0.054164,0.127401,0.153427,0.103911,0.200208,0.198796,0.140715,0.252951,0.212736,0.15219,0.268959,0.239134,0.172764,0.300179,0.274226,0.192306,0.347837,0.274226,0.192306,0.347837,0.350623,0.216562,0.461744,0.350623,0.216562,0.461744,0.350623,0.216562,0.461744
KM benchmark [merged(site-adj)],95% CI,0.09152,0.054164,0.127401,0.153427,0.103911,0.200208,0.198796,0.140715,0.252951,0.212736,0.15219,0.268959,0.239134,0.172764,0.300179,0.274226,0.192306,0.347837,0.274226,0.192306,0.347837,0.350623,0.216562,0.461744,0.350623,0.216562,0.461744,0.350623,0.216562,0.461744
Frequentist no-cure lognormal [merged],95% CI,0.108696,0.080122,0.147783,0.161774,0.124615,0.214681,0.199586,0.156399,0.263597,0.229391,0.182376,0.301504,0.254133,0.202889,0.332285,0.275342,0.220907,0.359528,0.29393,0.236015,0.383625,0.310487,0.249449,0.404521,0.325418,0.261337,0.423341,0.339018,0.272763,0.440682
Frequentist no-cure lognormal [merged(site-adj)],95% CI,0.111816,0.084156,0.153313,0.168037,0.132904,0.221378,0.208226,0.167295,0.271664,0.239931,0.194132,0.3111,0.266249,0.215895,0.343791,0.288801,0.235089,0.371605,0.308551,0.251529,0.396602,0.326129,0.265441,0.417635,0.341969,0.278332,0.436982,0.356383,0.290025,0.454659
Frequentist mixture cure (overall) [merged],95% CI,0.108907,0.009527,0.131688,0.161693,0.012801,0.190269,0.199048,0.01437,0.232608,0.228342,0.015328,0.265083,0.252556,0.016076,0.291387,0.273239,0.016626,0.315408,0.291306,0.017236,0.336096,0.307353,0.017647,0.354757,0.321787,0.018048,0.371266,0.334903,0.0183,0.385986
Frequentist mixture cure (susceptible only) [merged],95% CI,0.123879,0.074858,0.250558,0.182908,0.114585,0.332798,0.22447,0.143618,0.386596,0.256959,0.164767,0.426014,0.283752,0.182492,0.457864,0.306594,0.198455,0.485504,0.326519,0.212831,0.509813,0.344193,0.225111,0.531771,0.360073,0.236523,0.549247,0.374487,0.246371,0.565369
Frequentist mixture cure (overall) [merged(site-adj)],95% CI,0.112441,0.031752,0.136923,0.167569,0.046451,0.197607,0.206364,0.056508,0.241319,0.236609,0.062993,0.275173,0.261473,0.068267,0.303637,0.2826,0.072955,0.327957,0.300968,0.076893,0.348008,0.317208,0.079816,0.366196,0.331754,0.082508,0.381698,0.344918,0.084875,0.397181
Frequentist mixture cure (susceptible only) [merged(site-adj)],95% CI,0.146071,0.08953,0.267488,0.214878,0.136979,0.370955,0.262806,0.170475,0.435845,0.299944,0.196348,0.484243,0.330344,0.217985,0.52309,0.356093,0.237111,0.555045,0.37842,0.25345,0.581239,0.398117,0.268314,0.603857,0.415728,0.281877,0.622964,0.431639,0.294035,0.64195
Bayesian transition-only cure (overall) [merged],95% CrI,0.113697,0.080253,0.150947,0.168616,0.125095,0.213077,0.206634,0.157481,0.257183,0.23589,0.182619,0.292964,0.259685,0.202058,0.322536,0.279723,0.219207,0.347282,0.297007,0.234897,0.368563,0.312185,0.248915,0.387343,0.325696,0.259788,0.404692,0.337856,0.270191,0.419702
Bayesian transition-only cure (susceptible only) [merged],95% CrI,0.159684,0.093658,0.284338,0.235957,0.146876,0.421924,0.288336,0.186038,0.495276,0.328408,0.217018,0.546478,0.360848,0.24173,0.585711,0.388062,0.262369,0.618696,0.411461,0.280389,0.650112,0.431949,0.296748,0.676799,0.450142,0.311488,0.699595,0.466479,0.324706,0.719331
Bayesian transition-only cure (overall) [merged(site-adj)],95% CrI,0.113153,0.083193,0.144323,0.168772,0.129735,0.211782,0.20766,0.162263,0.257197,0.237792,0.185948,0.292197,0.262428,0.205719,0.320054,0.28326,0.221848,0.344622,0.301293,0.235772,0.36723,0.317174,0.24769,0.387625,0.331349,0.258054,0.405025,0.344135,0.266554,0.420344
Bayesian transition-only cure (susceptible only) [merged(site-adj)],95% CrI,0.149791,0.093032,0.260243,0.222491,0.142271,0.374904,0.272945,0.180349,0.449663,0.311833,0.209124,0.50411,0.343496,0.231614,0.546872,0.37018,0.251472,0.581527,0.393212,0.268456,0.610415,0.413445,0.282623,0.635007,0.431463,0.295088,0.656284,0.447684,0.306592,0.674934
