dataset_variant,dataset_group,probability_type,horizon_year,comparison,model_a,model_b,estimate_a,interval_type_a,uncertainty_sd_a,interval_lower_95_a,interval_median_50_a,interval_upper_95_a,estimate_b,interval_type_b,uncertainty_sd_b,interval_lower_95_b,interval_median_50_b,interval_upper_95_b,delta_interval_type,delta_probability,delta_uncertainty_sd,delta_interval_lower_95,delta_interval_median_50,delta_interval_upper_95,abs_delta_probability
merged,Merged,risk,1,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.108907,95% CI,0.037063,0.009527,0.061874,0.131688,0.113697,95% CrI,0.018103,0.080253,0.114471,0.150947,95% uncertainty interval,0.00479,0.054562,-0.086757,0.051476,0.116103,0.00479
merged,Merged,risk,1,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.108696,95% CI,0.017583,0.080122,0.111222,0.147783,0.113697,95% CrI,0.018103,0.080253,0.114471,0.150947,95% uncertainty interval,0.005001,0.025686,-0.047596,0.003478,0.055216,0.005001
merged,Merged,risk,1,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.09152,95% CI,NA,0.054164,NA,0.127401,0.113697,95% CrI,0.018103,0.080253,0.114471,0.150947,95% uncertainty interval,0.022177,0.027574,-0.033672,0.023096,0.075707,0.022177
merged,Merged,risk,1,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.108696,95% CI,0.017583,0.080122,0.111222,0.147783,0.108907,95% CI,0.037063,0.009527,0.061874,0.131688,95% CI,2.11e-4,0.054284,-0.111756,-0.047695,0.094331,2.11e-4
merged,Merged,risk,1,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.09152,95% CI,NA,0.054164,NA,0.127401,0.108907,95% CI,0.037063,0.009527,0.061874,0.131688,95% CI,0.017387,0.055626,-0.098722,-0.02828,0.116378,0.017387
merged,Merged,risk,1,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.09152,95% CI,NA,0.054164,NA,0.127401,0.108696,95% CI,0.017583,0.080122,0.111222,0.147783,95% CI,0.017176,0.026906,-0.03552,0.019811,0.071015,0.017176
merged,Merged,risk,2,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.161693,95% CI,0.054853,0.012801,0.088809,0.190269,0.168616,95% CrI,0.022778,0.125095,0.167709,0.213077,95% uncertainty interval,0.006923,0.071611,-0.106833,0.075972,0.16361,0.006923
merged,Merged,risk,2,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.161774,95% CI,0.022748,0.124615,0.164595,0.214681,0.168616,95% CrI,0.022778,0.125095,0.167709,0.213077,95% uncertainty interval,0.006842,0.03276,-0.05902,0.003007,0.067274,0.006842
merged,Merged,risk,2,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.153427,95% CI,NA,0.103911,NA,0.200208,0.168616,95% CrI,0.022778,0.125095,0.167709,0.213077,95% uncertainty interval,0.015189,0.034585,-0.054606,0.013705,0.080385,0.015189
merged,Merged,risk,2,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.161774,95% CI,0.022748,0.124615,0.164595,0.214681,0.161693,95% CI,0.054853,0.012801,0.088809,0.190269,95% CI,-8.1e-5,0.071944,-0.159169,-0.07383,0.115782,8.1e-5
merged,Merged,risk,2,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.153427,95% CI,NA,0.103911,NA,0.200208,0.161693,95% CI,0.054853,0.012801,0.088809,0.190269,95% CI,0.008266,0.072534,-0.153498,-0.061004,0.127954,0.008266
merged,Merged,risk,2,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.153427,95% CI,NA,0.103911,NA,0.200208,0.161774,95% CI,0.022748,0.124615,0.164595,0.214681,95% CI,0.008347,0.034459,-0.059028,0.011007,0.07807,0.008347
merged,Merged,risk,3,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.199048,95% CI,0.067751,0.01437,0.107621,0.232608,0.206634,95% CrI,0.026094,0.157481,0.205081,0.257183,95% uncertainty interval,0.007586,0.090029,-0.150709,0.095402,0.19834,0.007586
merged,Merged,risk,3,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.199586,95% CI,0.026754,0.156399,0.202547,0.263597,0.206634,95% CrI,0.026094,0.157481,0.205081,0.257183,95% uncertainty interval,0.007048,0.037034,-0.069022,0.001784,0.075566,0.007048
merged,Merged,risk,3,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.198796,95% CI,NA,0.140715,NA,0.252951,0.206634,95% CrI,0.026094,0.157481,0.205081,0.257183,95% uncertainty interval,0.007838,0.03925,-0.071306,0.005826,0.080765,0.007838
merged,Merged,risk,3,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.199586,95% CI,0.026754,0.156399,0.202547,0.263597,0.199048,95% CI,0.067751,0.01437,0.107621,0.232608,95% CI,-5.38e-4,0.091136,-0.199318,-0.094011,0.149645,5.38e-4
merged,Merged,risk,3,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.198796,95% CI,NA,0.140715,NA,0.252951,0.199048,95% CI,0.067751,0.01437,0.107621,0.232608,95% CI,2.52e-4,0.091936,-0.200512,-0.090304,0.160131,2.52e-4
merged,Merged,risk,3,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.198796,95% CI,NA,0.140715,NA,0.252951,0.199586,95% CI,0.026754,0.156399,0.202547,0.263597,95% CI,7.9e-4,0.039804,-0.073926,0.003408,0.082643,7.9e-4
merged,Merged,risk,4,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.228342,95% CI,0.078008,0.015328,0.12134,0.265083,0.23589,95% CrI,0.028774,0.182619,0.233181,0.292964,95% uncertainty interval,0.007548,0.103606,-0.182059,0.106318,0.227807,0.007548
merged,Merged,risk,4,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.229391,95% CI,0.030076,0.182376,0.231734,0.301504,0.23589,95% CrI,0.028774,0.182619,0.233181,0.292964,95% uncertainty interval,0.006499,0.040651,-0.080157,0.001249,0.078117,0.006499
merged,Merged,risk,4,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.212736,95% CI,NA,0.15219,NA,0.268959,0.23589,95% CrI,0.028774,0.182619,0.233181,0.292964,95% uncertainty interval,0.023154,0.041929,-0.06275,0.019503,0.101948,0.023154
merged,Merged,risk,4,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.229391,95% CI,0.030076,0.182376,0.231734,0.301504,0.228342,95% CI,0.078008,0.015328,0.12134,0.265083,95% CI,-0.001049,0.104734,-0.230177,-0.106738,0.184745,0.001049
merged,Merged,risk,4,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.212736,95% CI,NA,0.15219,NA,0.268959,0.228342,95% CI,0.078008,0.015328,0.12134,0.265083,95% CI,0.015606,0.104485,-0.209979,-0.089293,0.206953,0.015606
merged,Merged,risk,4,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.212736,95% CI,NA,0.15219,NA,0.268959,0.229391,95% CI,0.030076,0.182376,0.231734,0.301504,95% CI,0.016655,0.042768,-0.069751,0.01856,0.102567,0.016655
merged,Merged,risk,5,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.252556,95% CI,0.086567,0.016076,0.133469,0.291387,0.259685,95% CrI,0.031064,0.202058,0.256108,0.322536,95% uncertainty interval,0.007129,0.112697,-0.187372,0.122096,0.24589,0.007129
