dataset,analysis_view,source_block,band_label,band_start_year,band_end_year,observed_band_end_year,band_full_width_year,observed_band_width_year,observed_band_fraction,full_band_observed_flag,partial_band_flag,no_observed_time_flag,at_risk_start_n,transition_events,remission_censor_n,right_censor_n,main_censor_n,person_years,crude_hazard_per_100py,conditional_interval_risk,conditional_interval_risk_observed_portion,max_followup_years,available_within_observed_followup,estimable_flag,availability_note,support_tier,support_label,support_priority,primary_supported_flag,horizon_evidence_class,claim_restriction_flag,common_restricted_window_flag,support_basis,output_label
PNU,site_free_observed,interval_hazard_summary,0-1,0,1,1,1,1,1,TRUE,FALSE,FALSE,54,8,3,15,18,37.12525667351128,21.54867256637169,0.16985825872534022,0.16985825872534022,2.6694045174537986,TRUE,TRUE,full_band_observed,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,observed_person_time_band_support,supported_short_horizon_contrast
PNU,site_free_observed,interval_hazard_summary,1-2,1,2,2,1,1,1,TRUE,FALSE,FALSE,28,4,9,14,23,16.918548939082825,23.642689537988502,0.15534775783222976,0.15534775783222976,2.6694045174537986,TRUE,TRUE,full_band_observed,sensitivity,sensitivity,sensitivity,FALSE,partly_model_dependent,secondary_or_sensitivity_only,TRUE,observed_person_time_band_support,supported_short_horizon_contrast
PNU,site_free_observed,interval_hazard_summary,2-5,2,5,2.6694045174537986,3,0.6694045174537986,0.2231348391512662,FALSE,TRUE,FALSE,1,0,1,0,1,0.6694045174537986,0,NA,0,2.6694045174537986,FALSE,TRUE,partial_band_observed,projection,projection,projection,FALSE,mostly_extrapolated,projection_only,FALSE,observed_person_time_band_support,intermediate_horizon_contrast
PNU,site_free_observed,interval_hazard_summary,5-10,5,10,2.6694045174537986,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,NA,NA,NA,2.6694045174537986,FALSE,FALSE,no_observed_time_in_interval,projection,projection,projection,FALSE,mostly_extrapolated,projection_only,FALSE,observed_person_time_band_support,tail_diagnostic_contrast
SNU,site_free_observed,interval_hazard_summary,0-1,0,1,1,1,1,1,TRUE,FALSE,FALSE,208,14,0,31,31,179.1204654346338,7.81596897151264,0.07275402461899805,0.07275402461899805,10.105407255304586,TRUE,TRUE,full_band_observed,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,observed_person_time_band_support,supported_short_horizon_contrast
SNU,site_free_observed,interval_hazard_summary,1-2,1,2,2,1,1,1,TRUE,FALSE,FALSE,163,8,0,21,21,145.27926078028742,5.506635948608502,0.052602098002199615,0.052602098002199615,10.105407255304586,TRUE,TRUE,full_band_observed,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,observed_person_time_band_support,supported_short_horizon_contrast
SNU,site_free_observed,interval_hazard_summary,2-5,2,5,5,3,3,1,TRUE,FALSE,FALSE,134,12,0,58,58,318.1902806297054,3.7713282681833467,0.10163226063983422,0.10163226063983422,10.105407255304586,TRUE,TRUE,full_band_observed,secondary,secondary,secondary,FALSE,partly_model_dependent,secondary_or_sensitivity_only,FALSE,observed_person_time_band_support,intermediate_horizon_contrast
SNU,site_free_observed,interval_hazard_summary,5-10,5,10,10,5,5,1,TRUE,FALSE,FALSE,64,4,0,59,59,93.09377138945923,4.296742886552461,0.1465298466291517,0.1465298466291517,10.105407255304586,TRUE,TRUE,full_band_observed,projection,projection,projection,FALSE,mostly_extrapolated,projection_only,FALSE,observed_person_time_band_support,tail_diagnostic_contrast
merged,site_free_observed,interval_hazard_summary,0-1,0,1,1,1,1,1,TRUE,FALSE,FALSE,262,22,3,46,49,216.24572210814517,10.173611660626392,0.09152016083182768,0.09152016083182768,10.105407255304586,TRUE,TRUE,full_band_observed,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,observed_person_time_band_support,supported_short_horizon_contrast
merged,site_free_observed,interval_hazard_summary,1-2,1,2,2,1,1,1,TRUE,FALSE,FALSE,191,12,9,35,44,162.19780971937024,7.398373640656454,0.0681435535121736,0.0681435535121736,10.105407255304586,TRUE,TRUE,full_band_observed,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,observed_person_time_band_support,supported_short_horizon_contrast
merged,site_free_observed,interval_hazard_summary,2-5,2,5,5,3,3,1,TRUE,FALSE,FALSE,135,12,1,58,59,318.8596851471592,3.763410854044403,0.10123932844664751,0.10123932844664751,10.105407255304586,TRUE,TRUE,full_band_observed,secondary,secondary,secondary,FALSE,partly_model_dependent,secondary_or_sensitivity_only,FALSE,observed_person_time_band_support,intermediate_horizon_contrast
merged,site_free_observed,interval_hazard_summary,5-10,5,10,10,5,5,1,TRUE,FALSE,FALSE,64,4,0,59,59,93.09377138945923,4.296742886552461,0.14652984662915158,0.14652984662915158,10.105407255304586,TRUE,TRUE,full_band_observed,projection,projection,projection,FALSE,mostly_extrapolated,projection_only,FALSE,observed_person_time_band_support,tail_diagnostic_contrast
