scenario_id,scenario_label,dataset_scope,dataset_label,model_group,model_name,model_label,interval_type,horizon_year,estimated_survival_probability,estimated_survival_uncertainty_sd,estimated_survival_lower_95,estimated_survival_median_50,estimated_survival_upper_95,estimated_risk_probability,estimated_risk_uncertainty_sd,estimated_risk_lower_95,estimated_risk_median_50,estimated_risk_upper_95,cure_fraction,susceptible_fraction,n_subjects,full_survival_probability,full_risk_probability,full_cure_fraction,full_susceptible_fraction,survival_diff_vs_full,risk_diff_vs_full,abs_risk_diff_vs_full,cure_fraction_diff_vs_full,susceptible_fraction_diff_vs_full
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,1,0.927245975381002,NA,0.8801198405745653,0.927245975381002,0.956301672444453,0.07275402461899805,NA,0.043698327555547034,0.07275402461899805,0.11988015942543473,NA,NA,208,0.927245975381002,0.07275402461899805,NA,NA,0,0,0,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,2,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.8784708917118653,0.12152910828813468,NA,NA,0,0,0,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,3,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.8310292675945457,0.16897073240545435,NA,NA,0.04744162411731967,-0.04744162411731967,0.04744162411731967,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,4,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.8165699671510509,0.1834300328489491,NA,NA,0.06190092456081442,-0.06190092456081442,0.06190092456081442,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,5,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.7891899090808975,0.21081009091910252,NA,NA,0.08928098263096784,-0.08928098263096784,0.08928098263096784,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,6,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.7527912130645877,0.24720878693541226,NA,NA,0.12567967864727758,-0.12567967864727758,0.12567967864727758,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,7,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.7527912130645877,0.24720878693541226,NA,NA,0.12567967864727758,-0.12567967864727758,0.12567967864727758,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,8,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.6735500327419994,0.3264499672580006,NA,NA,0.2049208589698659,-0.2049208589698659,0.2049208589698659,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,9,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.6735500327419994,0.3264499672580006,NA,NA,0.2049208589698659,-0.2049208589698659,0.2049208589698659,NA,NA
truncated_2y,Truncated at 2 years,SNU,SNU,KM,km,KM,95% CI,10,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.6735500327419994,0.3264499672580006,NA,NA,0.2049208589698659,-0.2049208589698659,0.2049208589698659,NA,NA
