dataset,subgroup_kind,subgroup_value,group_id,panel_label,summary_view,curve_role,time_year,estimate,conf_low,conf_high,std_error,n_risk,n_event,n_censor,n_total,state,state_n,state_prop
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,0,1,1,1,0,54,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,0.25,0.8585457096095394,0.7258938908510464,0.929962816329739,0.049581828961741244,41,7,6,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,0.5,0.7538450133156931,0.6071277593716166,0.8521397192577166,0.06180934239251899,35,5,1,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,0.75,0.6676912975081852,0.5154667487877388,0.781758204117031,0.06812199398957147,31,4,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,1,0.6246144396044313,0.47162610576160935,0.7447584030214048,0.0702074297825801,28,2,1,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,1.25,0.5533621257532592,0.39950147888869786,0.6827480603358067,0.07327985207573204,22,3,3,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,1.5,0.422567441484307,0.27368584926051664,0.5640307453676899,0.07582854752312106,16,5,1,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,1.75,0.2905151160204611,0.16099894053981906,0.43317805917586605,0.07152243281726993,11,5,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,2,0.02641046509276919,0.0020688646830406905,0.1180533060120155,0.026007286280678076,1,10,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,2.25,0.02641046509276919,0.0020688646830406905,0.1180533060120155,0.026007286280678076,1,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,2.5,0.02641046509276919,0.0020688646830406905,0.1180533060120155,0.026007286280678076,1,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,2.75,NA,NA,NA,NA,0,1,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,3,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,3.25,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,3.5,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,3.75,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,4,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,4.25,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,4.5,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,4.75,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,5,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,5.25,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,5.5,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,5.75,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,6,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,6.25,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,6.5,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,6.75,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,7,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,7.25,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,7.5,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,7.75,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,reverse_km_curve,8,NA,NA,NA,NA,0,0,0,54,NA,NA,NA
