dataset,fit_name,selection_pool,latency_family,converged,cure_fraction_hat,receus_ratio_hat,receus_candidate_flag,selected_by_primary_aic,dataset_order,receus_pi_threshold,receus_r_threshold
PNU,cure__lognormal,primary,lognormal,TRUE,0.06035327962551206,0.9661892627447775,unsupportive,FALSE,1,0.025,0.05
PNU,cure__exponential,sensitivity,exponential,TRUE,0.6347481293695376,0.1213822802610953,unsupportive,FALSE,1,0.025,0.05
PNU,cure__weibull,sensitivity,weibull,TRUE,0.3767223391113076,0.6630090491092434,unsupportive,FALSE,1,0.025,0.05
PNU,cure__gamma,sensitivity,gamma,TRUE,0.4461850379124505,0.5469483776988299,unsupportive,FALSE,1,0.025,0.05
PNU,cure__loglogistic,sensitivity,loglogistic,TRUE,0.08921330177923907,0.9458785900553949,unsupportive,FALSE,1,0.025,0.05
SNU,cure__lognormal,primary,lognormal,TRUE,1.7772756876551637e-4,0.9999207150706128,unsupportive,FALSE,2,0.025,0.05
SNU,cure__exponential,sensitivity,exponential,TRUE,0.669611847405598,0.13093678992249086,unsupportive,FALSE,2,0.025,0.05
SNU,cure__weibull,sensitivity,weibull,TRUE,0.43621738239701624,0.6285942600754317,unsupportive,FALSE,2,0.025,0.05
SNU,cure__gamma,sensitivity,gamma,TRUE,0.4994423039116285,0.5189577271179792,unsupportive,FALSE,2,0.025,0.05
SNU,cure__loglogistic,sensitivity,loglogistic,TRUE,0.18616273616582432,0.8913896957505635,unsupportive,FALSE,2,0.025,0.05
merged,cure__lognormal,primary,lognormal,TRUE,5.249278785621963e-4,0.9997344963670607,unsupportive,FALSE,3,0.025,0.05
merged,cure__exponential,sensitivity,exponential,TRUE,0.6775232229316618,0.048598995115760504,supportive,FALSE,3,0.025,0.05
merged,cure__weibull,sensitivity,weibull,TRUE,0.5258526214635054,0.42921317622489624,unsupportive,FALSE,3,0.025,0.05
merged,cure__gamma,sensitivity,gamma,TRUE,0.5726359232187826,0.30923070389535107,unsupportive,FALSE,3,0.025,0.05
merged,cure__loglogistic,sensitivity,loglogistic,TRUE,0.34671277124929206,0.7295182931657146,unsupportive,FALSE,3,0.025,0.05
