dataset,dataset_label,source_dataset,family,formula_name,site_adjustment_flag,n_subjects,n_transition,n_censored,overall_risk_5y,overall_risk_10y,cure_fraction,susceptible_fraction,susceptible_weighted_subject_latency_median_year,cohort_uncured_median_latency_year,latency_scale,loglik,aic,optimizer_method,convergence_code,warnings_text,fit_ok,scenario_type,removal_scope,removal_rank,removed_ids,removed_n,removed_max_followup_year,removed_status_mix,baseline_overall_risk_5y,baseline_overall_risk_10y,baseline_cure_fraction,baseline_weighted_subject_latency_median,baseline_cohort_uncured_median,baseline_latency_scale,delta_overall_risk_5y,delta_overall_risk_10y,delta_cure_fraction,delta_weighted_subject_latency_median,delta_cohort_uncured_median,delta_latency_scale,abs_delta_cure_fraction,abs_delta_weighted_subject_latency_median,abs_delta_cohort_uncured_median
PNU,PNU,PNU,lognormal,base,FALSE,53,12,41,0.3773458856580578,0.40494414002030743,0.5704291156438037,0.4295708843561963,0.9549547437807395,0.5618179433987169,1.4939259795524957,-26.283942971597998,66.56788594319599,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,1,PNU_20092201,1,2.6694045174537986,remission,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.015047093557606472,0.0170846104087351,-0.0193656203640723,0.03447804410817301,0.008784330723365374,0.0045726999975233,0.0193656203640723,0.03447804410817301,0.008784330723365374
PNU,PNU,PNU,lognormal,base,FALSE,53,12,41,0.3773458856580578,0.40494414002030743,0.5704291156438037,0.4295708843561963,0.9549547437807395,0.5618179433987169,1.4939259795524957,-26.283942971597998,66.56788594319599,BFGS,0,NA,TRUE,leave_one_out,late_censored,1,PNU_20092201,1,2.6694045174537986,remission,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.015047093557606472,0.0170846104087351,-0.0193656203640723,0.03447804410817301,0.008784330723365374,0.0045726999975233,0.0193656203640723,0.03447804410817301,0.008784330723365374
PNU,PNU,PNU,lognormal,base,FALSE,53,12,41,0.367662812871186,0.3932650582233021,0.5846397929627267,0.4153602070372733,0.9036584055643245,0.5600475054139281,1.488075048063966,-26.520529461313426,67.04105892262686,BFGS,0,NA,TRUE,leave_one_out,late_censored,5,PNU_21040701,1,1.998631074606434,right_censoring,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.005364020770734668,0.005405528611729771,-0.005154943045149296,-0.016818294108241982,0.007013892738576555,-0.0012782314910064763,0.005154943045149296,0.016818294108241982,0.007013892738576555
PNU,PNU,PNU,lognormal,base,FALSE,53,12,41,0.36794805327281865,0.39362155084247014,0.5841918877707698,0.41580811222923025,0.9057391970237798,0.5597180253645108,1.4882096150055926,-26.509741523278475,67.01948304655696,BFGS,0,NA,TRUE,leave_one_out,late_censored,2,PNU_21031701,1,1.998631074606434,right_censoring,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.005649261172367304,0.005762021230897807,-0.005602848237106217,-0.014737502648786704,0.006684412689159203,-0.0011436645493798636,0.005602848237106217,0.014737502648786704,0.006684412689159203
PNU,PNU,PNU,lognormal,base,FALSE,52,12,40,0.38265305502025804,0.41011881201745215,0.5657938011402536,0.43420619885974643,0.933575612192352,0.5653940669489349,1.489839278181023,-26.111705511623995,66.22341102324799,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,2,PNU_20092201 | PNU_21031701,2,2.6694045174537986,remission | right_censoring,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.020354262919806687,0.02225928240587982,-0.024000934867622448,0.013098912519785455,0.012360454273583343,4.8599862605058775e-4,0.024000934867622448,0.013098912519785455,0.012360454273583343
PNU,PNU,PNU,lognormal,base,FALSE,50,8,42,0.28972256708381794,0.3522729928851391,0.16802337278917037,0.8319766272108297,35.43768981024882,13.259138079276134,3.2611984775533545,-17.415534841331986,48.83106968266397,BFGS,0,NA,TRUE,leave_last_k_out,late_event,4,PNU_21070304 | PNU_21072201 | PNU_20101301 | PNU_21020102,4,1.3388090349075976,transition,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,-0.07257622501663341,-0.03558653672643325,-0.4217713632187057,34.51721311057625,12.706104466600783,1.771845197998382,0.4217713632187057,34.51721311057625,12.706104466600783
PNU,PNU,PNU,lognormal,base,FALSE,51,9,42,0.2932515560460641,0.31682341867639086,0.6357955224352094,0.3642044775647906,4.527941493800335,0.256558094381806,1.3323888929961047,-16.74823984345185,47.4964796869037,BFGS,0,NA,TRUE,leave_last_k_out,late_event,3,PNU_21070304 | PNU_21072201 | PNU_20101301,3,1.3388090349075976,transition,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,-0.06904723605438723,-0.07103611093518147,0.04600078642733341,3.6074647941277687,-0.29647551829354557,-0.15696438655886769,0.04600078642733341,3.6074647941277687,0.29647551829354557
PNU,PNU,PNU,lognormal,base,FALSE,53,11,42,0.3671845406044953,0.41248494856123435,0.5100785432853661,0.48992145671463394,2.5312839576928132,0.8027147341113599,1.7577888281478269,-24.34293522878207,62.68587045756414,BFGS,0,NA,TRUE,leave_last_k_out,late_event,1,PNU_21070304,1,1.3388090349075976,transition,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.004885748504043941,0.024625418949662026,-0.07971619272250996,1.6108072580202468,0.2496811214360083,0.26843554859285446,0.07971619272250996,1.6108072580202468,0.2496811214360083
PNU,PNU,PNU,lognormal,base,FALSE,53,11,42,0.3671845406044953,0.41248494856123435,0.5100785432853661,0.48992145671463394,2.5312839576928132,0.8027147341113599,1.7577888281478269,-24.34293522878207,62.68587045756414,BFGS,0,NA,TRUE,leave_one_out,late_event,1,PNU_21070304,1,1.3388090349075976,transition,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,0.004885748504043941,0.024625418949662026,-0.07971619272250996,1.6108072580202468,0.2496811214360083,0.26843554859285446,0.07971619272250996,1.6108072580202468,0.2496811214360083
PNU,PNU,PNU,lognormal,base,FALSE,52,10,42,0.32987819476277214,0.3686098943883384,0.5604311541904586,0.43956884580954136,2.5158575322931753,0.8157306343647178,1.8535665974826236,-21.992941271977905,57.98588254395581,BFGS,0,NA,TRUE,leave_last_k_out,late_event,2,PNU_21070304 | PNU_21072201,2,1.3388090349075976,transition,0.36229879210045135,0.38785952961157233,0.589794736007876,0.9204766996725665,0.5530336126753516,1.4893532795549724,-0.03242059733767921,-0.01924963522323392,-0.029363581817417383,1.595380832620609,0.26269702168936626,0.3642133179276512,0.029363581817417383,1.595380832620609,0.26269702168936626
