dataset_name,model_name,estimated_risk_probability
PNU,KM benchmark,0.2988189169153016
PNU,No-cure lognormal,0.4754586836410392
PNU,Frequentist mixture cure (lognormal),0.37047676115494593
PNU,"Frequentist mixture cure (lognormal, susceptible only)",0.9285293757315668
PNU,Bayesian transition-only cure,0.3722408018381071
PNU,Bayesian transition-only cure (susceptible only),0.7663898582154861
SNU,KM benchmark,0.24720878693541223
SNU,No-cure lognormal,0.2427993741026392
SNU,Frequentist mixture cure (lognormal),0.24095619568441
SNU,"Frequentist mixture cure (lognormal, susceptible only)",0.253475154246827
SNU,Bayesian transition-only cure,0.24317591354931237
SNU,Bayesian transition-only cure (susceptible only),0.35526706113558404
merged,KM benchmark,0.2742260341560385
merged,No-cure lognormal,0.27534233378407047
merged,Frequentist mixture cure (lognormal),0.2732386037173015
merged,"Frequentist mixture cure (lognormal, susceptible only)",0.306594095707722
merged,Bayesian transition-only cure,0.2739690412631159
merged,Bayesian transition-only cure (susceptible only),0.38587207314323224
merged_site_adjusted,KM benchmark,0.2742260341560385
merged_site_adjusted,No-cure lognormal,0.28880062577396737
merged_site_adjusted,Frequentist mixture cure (lognormal),0.28259980741185475
merged_site_adjusted,"Frequentist mixture cure (lognormal, susceptible only)",0.35609277347366064
merged_site_adjusted,Bayesian transition-only cure,0.2858070754025063
merged_site_adjusted,Bayesian transition-only cure (susceptible only),0.36950271962627135
