dataset,horizon_year,estimated_survival_probability,estimated_risk_probability
PNU,1,0.8301417412746598,0.16985825872534022
PNU,2,0.7011810830846984,0.2988189169153016
PNU,3,0.7011810830846984,0.2988189169153016
PNU,4,0.7011810830846984,0.2988189169153016
PNU,5,0.7011810830846984,0.2988189169153016
PNU,6,0.7011810830846984,0.2988189169153016
PNU,7,0.7011810830846984,0.2988189169153016
PNU,8,0.7011810830846984,0.2988189169153016
PNU,9,0.7011810830846984,0.2988189169153016
PNU,10,0.7011810830846984,0.2988189169153016
SNU,1,0.927245975381002,0.07275402461899805
SNU,2,0.8784708917118653,0.12152910828813468
SNU,3,0.8310292675945457,0.16897073240545435
SNU,4,0.8165699671510509,0.1834300328489491
SNU,5,0.7891899090808975,0.21081009091910252
SNU,6,0.7527912130645877,0.24720878693541226
SNU,7,0.7527912130645877,0.24720878693541226
SNU,8,0.6735500327419994,0.3264499672580006
SNU,9,0.6735500327419994,0.3264499672580006
SNU,10,0.6735500327419994,0.3264499672580006
merged,1,0.9084798391681723,0.09152016083182768
merged,2,0.8465727946330851,0.1534272053669149
merged,3,0.8012041012263359,0.1987958987736641
merged,4,0.7872637368277092,0.21273626317229077
merged,5,0.76086633342323,0.23913366657677004
merged,6,0.7257739658439615,0.2742260341560385
merged,7,0.7257739658439615,0.2742260341560385
merged,8,0.6493767062814392,0.3506232937185608
merged,9,0.6493767062814392,0.3506232937185608
merged,10,0.6493767062814392,0.3506232937185608
