file_name,object_name,description,file_path
stage1_dataset_registry.csv,dataset_registry,Dataset-level Stage 1 registry,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_dataset_registry.csv
stage1_dataset_summary.csv,dataset_summary,"Dataset counts, event/remission/censoring counts, and person-time summary",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_dataset_summary.csv
stage1_age_sex_site_summary.csv,age_sex_site_summary,"Age, sex, and site summary table",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_age_sex_site_summary.csv
stage1_scaling_registry.csv,scaling_registry,Age scaling constants for age_s by dataset,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_scaling_registry.csv
stage1_formula_registry.csv,formula_registry,Common formula registry,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_formula_registry.csv
stage1_modeling_registry.csv,modeling_registry,Common modeling registry table,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_modeling_registry.csv
stage1_horizon_registry.csv,horizon_registry,Dataset-by-horizon interpretation registry,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_horizon_registry.csv
stage1_threshold_registry.csv,threshold_registry,User-editable threshold registry,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_threshold_registry.csv
stage1_metadata_registry.csv,metadata_registry,Stage 1 backbone metadata,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_metadata_registry.csv
stage1_analysis_datasets.rds,analysis_datasets_rds,Reusable processed datasets for later stages,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_analysis_datasets.rds
stage1_backbone_bundle.rds,backbone_bundle,Reusable Stage 1 bundle with datasets and registries,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_backbone_bundle.rds
stage1_export_manifest.csv,export_manifest,Manifest of all Stage 1 exported files,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_export_manifest.csv
