dataset,source_stage,model_class,model_class_label,model_block,family,model_id,benchmark_id,formula_name,formula_label,site_branch,interaction_branch,model_display_label,has_risk_rows,has_threshold_rows,has_auxiliary_rows,has_delta_rows,n_supported_horizons
PNU,Stage 3,km_benchmark,KM benchmark,benchmark,KM,km_overall,km_overall,base,Base,site_free,no_age_sex_interaction,KM: Overall KM benchmark,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 5,no_cure,No-cure,non_cure,coxph,PNU__base__coxph,NA,base,Base,site_free,no_age_sex_interaction,No-cure: coxph,TRUE,TRUE,TRUE,FALSE,10
PNU,Stage 5,no_cure,No-cure,non_cure,exponential,PNU__base__exponential,NA,base,Base,site_free,no_age_sex_interaction,No-cure: exponential,TRUE,TRUE,TRUE,FALSE,10
PNU,Stage 5,no_cure,No-cure,non_cure,loglogistic,PNU__base__loglogistic,NA,base,Base,site_free,no_age_sex_interaction,No-cure: loglogistic,TRUE,TRUE,TRUE,FALSE,10
PNU,Stage 5,no_cure,No-cure,non_cure,lognormal,PNU__base__lognormal,NA,base,Base,site_free,no_age_sex_interaction,No-cure: lognormal,TRUE,TRUE,TRUE,FALSE,10
PNU,Stage 5,no_cure,No-cure,non_cure,weibull,PNU__base__weibull,NA,base,Base,site_free,no_age_sex_interaction,No-cure: weibull,TRUE,TRUE,TRUE,FALSE,10
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_aft_sensitivity,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_coxlatency,nocure_coxph,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_coxlatency,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_exp,nocure_exp,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_exp,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_llogis,nocure_llogis,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_llogis,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_lnorm,nocure_lnorm,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,20
