dataset,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,horizon_year,risk,survival,n_subjects,source_stage,model_class,model_block,family,model_id,formula_name,formula_label,interaction_branch,risk_lower,risk_upper,survival_lower,survival_upper,estimate_type,reporting_status,reporting_note,support_label,support_priority,primary_supported_flag,interpretation_note,risk_set_size,event_count_by_horizon,known_nonevent_by_horizon,max_followup_year,instability_marker,model_class_label,model_display_label,model_family,latency_type,admissible_flag,admissibility_reasons,screening_flag,screening_note
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,1,0.16985825872534,0.83014174127466,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,primary_supported,1,TRUE,Common comparison horizon retained for cross-model comparability.,28,8,28,2.6694045174538,primary_supported_window,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,2,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,sensitivity,3,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,12,1,2.6694045174538,limited_support_window,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,3,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,4,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,5,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,6,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,7,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,8,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,9,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
PNU,km_overall,Overall KM benchmark,primary,site_free,overall,NA,10,0.298818916915302,0.7011810830846978,54,Stage 3,km_benchmark,benchmark,KM,km_overall,base,Base,no_age_sex_interaction,NA,NA,NA,NA,assigned_group_km,reported,Overall KM benchmark,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,KM benchmark,KM: Overall KM benchmark,NA,NA,NA,NA,NA,NA
