dataset,subgroup_kind,subgroup_value,group_id,panel_label,summary_view,time_year,n_total,state,state_n,state_prop
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0,54,transition,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0,54,remission,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0,54,right_censoring,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0,54,still_under_followup,54,1
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.25,54,transition,6,0.1111111111111111
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.25,54,remission,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.25,54,right_censoring,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.25,54,still_under_followup,41,0.7592592592592593
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.5,54,transition,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.5,54,remission,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.5,54,right_censoring,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.5,54,still_under_followup,35,0.6481481481481481
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.75,54,transition,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.75,54,remission,3,0.05555555555555555
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.75,54,right_censoring,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,0.75,54,still_under_followup,31,0.5740740740740741
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1,54,transition,8,0.14814814814814814
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1,54,remission,3,0.05555555555555555
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1,54,right_censoring,15,0.2777777777777778
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1,54,still_under_followup,28,0.5185185185185185
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.25,54,transition,11,0.2037037037037037
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.25,54,remission,5,0.09259259259259259
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.25,54,right_censoring,16,0.2962962962962963
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.25,54,still_under_followup,22,0.4074074074074074
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.5,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.5,54,remission,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.5,54,right_censoring,19,0.35185185185185186
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.5,54,still_under_followup,16,0.2962962962962963
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.75,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.75,54,remission,9,0.16666666666666666
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.75,54,right_censoring,22,0.4074074074074074
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,1.75,54,still_under_followup,11,0.2037037037037037
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2,54,remission,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2,54,still_under_followup,1,0.018518518518518517
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.25,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.25,54,remission,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.25,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.25,54,still_under_followup,1,0.018518518518518517
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.5,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.5,54,remission,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.5,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.5,54,still_under_followup,1,0.018518518518518517
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.75,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.75,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.75,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,2.75,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.25,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.25,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.25,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.25,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.5,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.5,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.5,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.5,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.75,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.75,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.75,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,3.75,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.25,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.25,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.25,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.25,54,still_under_followup,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.5,54,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.5,54,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.5,54,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,4.5,54,still_under_followup,0,0
