dataset,subgroup_kind,subgroup_value,group_id,panel_label,summary_view,curve_role,time_year,estimate,conf_low,conf_high,std_error,n_risk,n_event,n_censor,n_total,interpretation_tier,support_tier_standard,support_display_group,support_display_label,n_risk_fraction,state,state_n,state_prop
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0,1,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,54,1
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.25,0.1111111111111111,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,6,0.1111111111111111
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.25,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.25,0.12962962962962962,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.25,0.7592592592592593,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,41,0.7592592592592593
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.5,0.12962962962962962,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.5,0,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,0,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.5,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.5,0.6481481481481481,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,35,0.6481481481481481
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.75,0.12962962962962962,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,7,0.12962962962962962
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.75,0.05555555555555555,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,3,0.05555555555555555
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.75,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,0.75,0.5740740740740741,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,31,0.5740740740740741
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1,0.14814814814814814,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,8,0.14814814814814814
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1,0.05555555555555555,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,3,0.05555555555555555
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1,0.2777777777777778,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,15,0.2777777777777778
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1,0.5185185185185185,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,28,0.5185185185185185
