dataset,subgroup_kind,subgroup_value,group_id,panel_label,time_year,n_risk,n_total,n_risk_fraction,interpretation_tier,support_tier_standard,support_display_group,support_display_label,risk_table_label
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,0,54,54,1,baseline,baseline,baseline,Baseline,54
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,1,28,54,0.5185185185185185,primary-supported,primary_supported,primary_supported,Primary supported,28
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,2,1,54,0.018518518518518517,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,1
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,3,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,4,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,5,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,6,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,7,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,8,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,9,0,54,0,projection,projection,projection,Projection,0
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,10,0,54,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,0,26,26,1,baseline,baseline,baseline,Baseline,26
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,1,11,26,0.4230769230769231,primary-supported,primary_supported,primary_supported,Primary supported,11
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,2,0,26,0,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,3,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,4,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,5,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,6,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,7,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,8,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,9,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,10,0,26,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,0,28,28,1,baseline,baseline,baseline,Baseline,28
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,1,17,28,0.6071428571428571,primary-supported,primary_supported,primary_supported,Primary supported,17
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,2,1,28,0.03571428571428571,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,1
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,3,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,4,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,5,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,6,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,7,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,8,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,9,0,28,0,projection,projection,projection,Projection,0
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,10,0,28,0,projection,projection,projection,Projection,0
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,0,208,208,1,baseline,baseline,baseline,Baseline,208
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,1,163,208,0.7836538461538461,primary-supported,primary_supported,primary_supported,Primary supported,163
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,2,134,208,0.6442307692307693,primary-supported,primary_supported,primary_supported,Primary supported,134
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,3,117,208,0.5625,secondary,secondary,secondary_or_sensitivity,Secondary / sensitivity,117
