dataset,analysis_view,model_name,horizon_year,survival,risk,risk_conf_low,risk_conf_high,n_risk,cumulative_transition_n,cumulative_main_censor_n,cumulative_remission_n,max_followup_years,available_within_observed_followup,estimable_flag,availability_note,interpretation_tier,interpretation_note,support_label,support_priority,primary_supported_flag,common_restricted_window_flag,support_basis,output_label
PNU,site_free_observed,KM,1,0.8301417412746598,0.16985825872534022,0.052361043849503686,0.27278706079588255,28,8,18,3,2.6694045174537986,TRUE,TRUE,within_observed_followup,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary,TRUE,TRUE,site_specific_observed_followup,supported_short_horizon_contrast
PNU,site_free_observed,KM,2,0.7011810830846984,0.2988189169153016,0.13260550130962045,0.43318188895808385,1,12,41,12,2.6694045174537986,TRUE,TRUE,within_observed_followup,sensitivity,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,sensitivity,FALSE,TRUE,site_specific_observed_followup,supported_short_horizon_contrast
PNU,site_free_observed,KM,3,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,stage4_context_only
PNU,site_free_observed,KM,4,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,stage4_context_only
PNU,site_free_observed,KM,5,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,late_horizon_tail_contrast
PNU,site_free_observed,KM,6,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,stage4_context_only
PNU,site_free_observed,KM,7,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,stage4_context_only
PNU,site_free_observed,KM,8,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,stage4_context_only
PNU,site_free_observed,KM,9,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,stage4_context_only
PNU,site_free_observed,KM,10,NA,NA,NA,NA,NA,12,42,13,2.6694045174537986,FALSE,FALSE,beyond_max_observed_followup,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,FALSE,FALSE,site_specific_observed_followup,late_horizon_tail_contrast
