stage,validation_level,optimism_correction_method,dataset,model_class,model_family,model_id,strategy_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,anchor_horizon_year,tail_extrapolation_capable_flag,extrapolation_role,horizon_id,horizon_year,interpretation_tier,primary_supported_flag,interpretation_note,observed_case_support_flag,observed_nonevent_support_flag,observed_horizon_information_flag,partial_binary_outcome_support_flag,binary_outcome_support_flag,beyond_last_event_flag,beyond_last_followup_flag,descriptive_projection_flag,horizon_data_status,descriptive_value_status,bin_label,n_subject,mean_predicted_risk,case_count_ipcw,nonevent_count_ipcw,bin_index,case_support_flag,nonevent_support_flag,bin_binary_support_flag,observed_risk_ipcw
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"[0.106373785603,0.109648100611]",6,0.10804492997369493,0,8.004938219434221,1,0,1,0,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.109648100611,0.113486824583]",5,0.11201361408999926,1,6.403950575547377,2,1,1,1,0.1350630301750859
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.113486824583,0.119627774397]",6,0.1174878727798163,0,6.403950575547377,3,0,1,0,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.119627774397,0.132481498932]",5,0.1297558245895983,1.6009876438868442,3.2019752877736884,4,1,1,1,0.3333333333333333
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.132481498932,0.145085386819]",5,0.1367139175746495,1.0408496732026145,3.2019752877736884,5,1,1,1,0.24531996553614785
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.145085386819,0.19658650167]",6,0.1870845491611271,1.019607843137255,6.403950575547377,6,1,1,1,0.13734758799378016
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.19658650167,0.205798701108]",5,0.20125567499016359,2.019607843137255,3.2019752877736884,7,1,1,1,0.3867807506848827
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.205798701108,0.22832043058]",6,0.21575153394400862,1.164760348583878,3.2019752877736884,8,1,1,1,0.26673479816044965
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.22832043058,0.241895439713]",5,0.23517399488216179,1.3265326192205278,3.2019752877736884,9,1,1,1,0.2929292929292929
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,1,1,1,0,1,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.241895439713,0.311266660043]",5,0.2789606547075488,0,1.6009876438868442,10,0,1,0,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_2,2,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,1,1,0,1,1,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"[0.200255447058,0.20606720547]",6,0.203223009738696,1.662564091728646,0,1,1,0,0,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_2,2,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,1,1,0,1,1,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,"(0.20606720547,0.2128539519]",5,0.2102510597116229,1,0,2,1,0,0,NA
