timestamp,stage,dataset_key,note,run_mode,bootstrap_reps_xie,bootstrap_reps_hsu,optim_maxit,parallel_cores
2026-03-24 12:19:38.548554,initialized,NA,Stage 6 initialized and export path verified.,full,499,199,5000,4
2026-03-24 12:19:38.704024,stage1_loaded,NA,Stage 1 bundles and registries loaded.,full,499,199,5000,4
2026-03-24 12:19:39.228918,datasets_prepared,NA,Prepared datasets and wrote initial variant registry.,full,499,199,5000,4
2026-03-24 12:19:39.440277,dataset_started,PNU,Dataset-level screening started.,full,499,199,5000,4
2026-03-24 12:19:40.298021,bootstrap_running,NA,XIE[PNU] chunk 1 of 50,full,499,199,5000,4
2026-03-24 12:19:40.323527,bootstrap_running,NA,XIE[PNU] chunk 2 of 50,full,499,199,5000,4
2026-03-24 12:19:40.350451,bootstrap_running,NA,XIE[PNU] chunk 3 of 50,full,499,199,5000,4
2026-03-24 12:19:40.37785,bootstrap_running,NA,XIE[PNU] chunk 4 of 50,full,499,199,5000,4
2026-03-24 12:19:40.405368,bootstrap_running,NA,XIE[PNU] chunk 5 of 50,full,499,199,5000,4
2026-03-24 12:19:40.432247,bootstrap_running,NA,XIE[PNU] chunk 6 of 50,full,499,199,5000,4
2026-03-24 12:19:40.460726,bootstrap_running,NA,XIE[PNU] chunk 7 of 50,full,499,199,5000,4
2026-03-24 12:19:40.487891,bootstrap_running,NA,XIE[PNU] chunk 8 of 50,full,499,199,5000,4
2026-03-24 12:19:40.527214,bootstrap_running,NA,XIE[PNU] chunk 9 of 50,full,499,199,5000,4
2026-03-24 12:19:40.55367,bootstrap_running,NA,XIE[PNU] chunk 10 of 50,full,499,199,5000,4
2026-03-24 12:19:40.582417,bootstrap_running,NA,XIE[PNU] chunk 11 of 50,full,499,199,5000,4
2026-03-24 12:19:40.612994,bootstrap_running,NA,XIE[PNU] chunk 12 of 50,full,499,199,5000,4
2026-03-24 12:19:40.649323,bootstrap_running,NA,XIE[PNU] chunk 13 of 50,full,499,199,5000,4
2026-03-24 12:19:40.677036,bootstrap_running,NA,XIE[PNU] chunk 14 of 50,full,499,199,5000,4
2026-03-24 12:19:40.704344,bootstrap_running,NA,XIE[PNU] chunk 15 of 50,full,499,199,5000,4
2026-03-24 12:19:40.731618,bootstrap_running,NA,XIE[PNU] chunk 16 of 50,full,499,199,5000,4
2026-03-24 12:19:40.759564,bootstrap_running,NA,XIE[PNU] chunk 17 of 50,full,499,199,5000,4
2026-03-24 12:19:40.795006,bootstrap_running,NA,XIE[PNU] chunk 18 of 50,full,499,199,5000,4
2026-03-24 12:19:40.819795,bootstrap_running,NA,XIE[PNU] chunk 19 of 50,full,499,199,5000,4
2026-03-24 12:19:40.844662,bootstrap_running,NA,XIE[PNU] chunk 20 of 50,full,499,199,5000,4
2026-03-24 12:19:40.869832,bootstrap_running,NA,XIE[PNU] chunk 21 of 50,full,499,199,5000,4
2026-03-24 12:19:40.895416,bootstrap_running,NA,XIE[PNU] chunk 22 of 50,full,499,199,5000,4
