dataset_key,source_dataset,analysis_variant,method_name,method_role,statistic_name,statistic_value,p_value,p_value_type,alpha,method_flag,model_family,selected_family,latency_formula_rhs,incidence_formula_rhs,bootstrap_reps,cure_fraction_hat,noncure_hat_naive,noncure_hat_corrected,receus_ratio_hat,overall_survival_tau,susceptible_survival_tau,tau_year,aic,mz_alpha_n,mz_q_n,xie_epsilon,convergence_flag,implementation_label,note
PNU,PNU,single_cohort,maller_zhou_dn,presence_only,d_n,1.6387217393849056,0.10025047040891756,boundary_mixture_chisq,0.05,unsupportive,exponential,exponential,NA,NA,NA,0.6347481294682178,NA,NA,NA,NA,NA,2.6694045174538,NA,NA,NA,NA,TRUE,exact_parametric_boundary_test,Parametric Maller-Zhou boundary deviance test under an exponential mixture-cure working model.
PNU,PNU,single_cohort,maller_zhou_alpha_n,followup_only,alpha_n,1.2770227994358211e-6,1.2770227994358211e-6,estimated_alpha_n,0.05,supportive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6694045174538,NA,1.2770227994358211e-6,0.2222222222222222,NA,TRUE,extreme_interval_followup_summary,Small alpha_n supports sufficient follow-up; q_n is exported in the follow-up sufficiency summary.
PNU,PNU,single_cohort,xie_sufficient_followup,followup_only,T_n,0.005374433460367145,0.288,centered_bootstrap,0.05,supportive,NA,NA,NA,NA,499,NA,0.2988189169153016,0.30419335037566875,NA,NA,NA,2.6694045174538,NA,NA,NA,2.668377823408625,TRUE,bootstrap_extremes_test,No-covariate Xie sufficient follow-up test with centered bootstrap p-value.
PNU,PNU,single_cohort,receus_weibull,joint_screen,r_n,0.6629554921081291,NA,threshold_rule,0.05,unsupportive,weibull,weibull,NA,NA,NA,0.3767622556088728,NA,NA,0.6629554921081291,0.642039364843229,0.4256435230724335,2.6694045174538,63.81184410096952,NA,NA,NA,TRUE,mle_threshold_rule_fixed_family,RECeUS with a fixed Weibull mixture-cure working model.
PNU,PNU,single_cohort,receus_aic,joint_screen,r_n,0.12138226937391308,NA,threshold_rule,0.05,unsupportive,exponential,exponential,NA,NA,NA,0.6347481294682178,NA,NA,0.12138226937391308,0.664195294910774,0.08062153220374521,2.6694045174538,62.77404302733228,NA,NA,NA,TRUE,mle_threshold_rule_aic_selected_family,RECeUS-AIC using the selected family `exponential`.
PNU,PNU,single_cohort,hsu_supscore_weibull_approx,presence_only,sup_lr_boot,1.8213816990341414,0.855,parametric_bootstrap_approx,0.05,unsupportive,weibull,weibull,age_s + sex_num,age_s + sex_num + age_s:sex_num,199,NA,NA,NA,NA,NA,NA,2.6694045174538,NA,NA,NA,NA,TRUE,approximate_bootstrap_supremum_lr,Self-contained pragmatic approximation to the Hsu sup-score test using a Weibull AFT working latency model and parametric bootstrap under the no-cure null.
SNU,SNU,single_cohort,maller_zhou_dn,presence_only,d_n,4.245561441692757,0.019676527861897112,boundary_mixture_chisq,0.05,supportive,exponential,exponential,NA,NA,NA,0.6696118488908929,NA,NA,NA,NA,NA,10.1054072553046,NA,NA,NA,NA,TRUE,exact_parametric_boundary_test,Parametric Maller-Zhou boundary deviance test under an exponential mixture-cure working model.
SNU,SNU,single_cohort,maller_zhou_alpha_n,followup_only,alpha_n,0.0487112671622437,0.0487112671622437,estimated_alpha_n,0.05,supportive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1054072553046,NA,0.0487112671622437,0.014423076923076924,NA,TRUE,extreme_interval_followup_summary,Small alpha_n supports sufficient follow-up; q_n is exported in the follow-up sufficiency summary.
SNU,SNU,single_cohort,xie_sufficient_followup,followup_only,T_n,0.14741319774388273,0.194,centered_bootstrap,0.05,supportive,NA,NA,NA,NA,499,NA,0.3264499672580006,0.4738631650018833,NA,NA,NA,10.1054072553046,NA,NA,NA,9.475359342915826,TRUE,bootstrap_extremes_test,No-covariate Xie sufficient follow-up test with centered bootstrap p-value.
SNU,SNU,single_cohort,receus_weibull,joint_screen,r_n,0.628594550606467,NA,threshold_rule,0.05,unsupportive,weibull,weibull,NA,NA,NA,0.4362173368436706,NA,NA,0.628594550606467,0.6756676885789474,0.42472102706159376,10.1054072553046,300.81353833508643,NA,NA,NA,TRUE,mle_threshold_rule_fixed_family,RECeUS with a fixed Weibull mixture-cure working model.
SNU,SNU,single_cohort,receus_aic,joint_screen,r_n,0.8913870522329073,NA,threshold_rule,0.05,unsupportive,loglogistic,loglogistic,NA,NA,NA,0.18616653440552983,NA,NA,0.8913870522329073,0.6780556186884183,0.6044099991926294,10.1054072553046,300.7357489769117,NA,NA,NA,TRUE,mle_threshold_rule_aic_selected_family,RECeUS-AIC using the selected family `loglogistic`.
SNU,SNU,single_cohort,hsu_supscore_weibull_approx,presence_only,sup_lr_boot,2.753770182647429,0.83,parametric_bootstrap_approx,0.05,unsupportive,weibull,weibull,age_s + sex_num,age_s + sex_num + age_s:sex_num,199,NA,NA,NA,NA,NA,NA,10.1054072553046,NA,NA,NA,NA,TRUE,approximate_bootstrap_supremum_lr,Self-contained pragmatic approximation to the Hsu sup-score test using a Weibull AFT working latency model and parametric bootstrap under the no-cure null.
merged__site_free,merged,site_free,maller_zhou_dn,presence_only,d_n,10.613673432631856,5.612722895413653e-4,boundary_mixture_chisq,0.05,supportive,exponential,exponential,NA,NA,NA,0.6775232333952114,NA,NA,NA,NA,NA,10.1054072553046,NA,NA,NA,NA,TRUE,exact_parametric_boundary_test,Parametric Maller-Zhou boundary deviance test under an exponential mixture-cure working model.
merged__site_free,merged,site_free,maller_zhou_alpha_n,followup_only,alpha_n,0.04893277703013257,0.04893277703013257,estimated_alpha_n,0.05,supportive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1054072553046,NA,0.04893277703013257,0.011450381679389313,NA,TRUE,extreme_interval_followup_summary,Small alpha_n supports sufficient follow-up; q_n is exported in the follow-up sufficiency summary.
merged__site_free,merged,site_free,xie_sufficient_followup,followup_only,T_n,0.11318148945495082,0.258,centered_bootstrap,0.05,supportive,NA,NA,NA,NA,499,NA,0.3506232937185608,0.46380478317351165,NA,NA,NA,10.1054072553046,NA,NA,NA,9.475359342915826,TRUE,bootstrap_extremes_test,No-covariate Xie sufficient follow-up test with centered bootstrap p-value.
merged__site_free,merged,site_free,receus_weibull,joint_screen,r_n,0.4292105769207755,NA,threshold_rule,0.05,unsupportive,weibull,weibull,NA,NA,NA,0.5258539197281177,NA,NA,0.4292105769207755,0.6602128561136391,0.283370340863048,10.1054072553046,366.31411063909064,NA,NA,NA,TRUE,mle_threshold_rule_fixed_family,RECeUS with a fixed Weibull mixture-cure working model.
merged__site_free,merged,site_free,receus_aic,joint_screen,r_n,0.7295210274705886,NA,threshold_rule,0.05,unsupportive,loglogistic,loglogistic,NA,NA,NA,0.34671035178905374,NA,NA,0.7295210274705886,0.6624049628969954,0.48323834913423314,10.1054072553046,366.10052899435794,NA,NA,NA,TRUE,mle_threshold_rule_aic_selected_family,RECeUS-AIC using the selected family `loglogistic`.
merged__site_free,merged,site_free,hsu_supscore_weibull_approx,presence_only,sup_lr_boot,1.2946144278665201,0.905,parametric_bootstrap_approx,0.05,unsupportive,weibull,weibull,age_s + sex_num,age_s + sex_num + age_s:sex_num,199,NA,NA,NA,NA,NA,NA,10.1054072553046,NA,NA,NA,NA,TRUE,approximate_bootstrap_supremum_lr,Self-contained pragmatic approximation to the Hsu sup-score test using a Weibull AFT working latency model and parametric bootstrap under the no-cure null.
merged__site_adjusted,merged,site_adjusted,maller_zhou_dn,presence_only,d_n,10.613673432631856,5.612722895413653e-4,boundary_mixture_chisq,0.05,supportive,exponential,exponential,NA,NA,NA,0.6775232333952114,NA,NA,NA,NA,NA,10.1054072553046,NA,NA,NA,NA,TRUE,exact_parametric_boundary_test,Parametric Maller-Zhou boundary deviance test under an exponential mixture-cure working model. | Raw-tail metric inherited from the merged site-free branch for the merged site-adjusted structural variant.
merged__site_adjusted,merged,site_adjusted,maller_zhou_alpha_n,followup_only,alpha_n,0.04893277703013257,0.04893277703013257,estimated_alpha_n,0.05,supportive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1054072553046,NA,0.04893277703013257,0.011450381679389313,NA,TRUE,extreme_interval_followup_summary,Small alpha_n supports sufficient follow-up; q_n is exported in the follow-up sufficiency summary. | Raw-tail metric inherited from the merged site-free branch for the merged site-adjusted structural variant.
merged__site_adjusted,merged,site_adjusted,xie_sufficient_followup,followup_only,T_n,0.11318148945495082,0.258,centered_bootstrap,0.05,supportive,NA,NA,NA,NA,499,NA,0.3506232937185608,0.46380478317351165,NA,NA,NA,10.1054072553046,NA,NA,NA,9.475359342915826,TRUE,bootstrap_extremes_test,No-covariate Xie sufficient follow-up test with centered bootstrap p-value. | Raw-tail metric inherited from the merged site-free branch for the merged site-adjusted structural variant.
merged__site_adjusted,merged,site_adjusted,receus_weibull,joint_screen,r_n,0.4292105769207755,NA,threshold_rule,0.05,unsupportive,weibull,weibull,NA,NA,NA,0.5258539197281177,NA,NA,0.4292105769207755,0.6602128561136391,0.283370340863048,10.1054072553046,366.31411063909064,NA,NA,NA,TRUE,mle_threshold_rule_fixed_family,RECeUS with a fixed Weibull mixture-cure working model. | Raw-tail metric inherited from the merged site-free branch for the merged site-adjusted structural variant.
