dataset,formula_variant,site_branch,interaction_branch,model_id,matched_nocure_model_id,horizon_year,n_subject,mean_delta_risk_nc_minus_cure,median_delta_risk_nc_minus_cure,q25_delta_risk_nc_minus_cure,q75_delta_risk_nc_minus_cure,horizon_support,boot_n_success_delta,boot_success_rate_delta,mean_delta_risk_ci_lower,mean_delta_risk_ci_upper,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,1,54,0.0061768979617354,0.00239683141467583,-0.0479118827047712,0.01909935554419437,primary_supported,988,0.988,-0.06006663044135034,0.03798230863400403,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,2,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,secondary,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,3,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,secondary,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,4,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,secondary,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,5,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,secondary,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,6,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,projection,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,7,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,projection,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,8,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,projection,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,9,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,projection,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,nocure_coxph,10,54,-0.05750139136552112,-0.00736870948149298,-0.13193420062727532,0.04240696330049284,projection,988,0.988,-0.15790022420169622,0.01396721161300938,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
