dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,fit_engine,is_cure_model,matched_nocure_model_id,fit_status,prediction_status,overall_status,fit_component_success,prediction_component_success,convergence_code,has_converged_solution,optimizer_method,fit_source,fit_cache_validation,loglik,fit_message,prediction_message,message,error_message,fit_warning_count,fit_warning_message,prediction_warning_count,prediction_warning_message,warning_count,warning_message,warning_count_total,fit_elapsed_sec,prediction_elapsed_sec,elapsed_sec,prediction_rows,expected_prediction_rows,saved_rds_file,n,n_transition,n_right_censor,n_remission,incidence_rhs,latency_rhs,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,benchmark,benchmark,benchmark,benchmark_km,km_benchmark,benchmark,km,benchmark,survfit,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,survfit,fitted_new,new_fit,NA,survfit,benchmark_prediction,survfit,NA,0,NA,0,NA,0,NA,0,0.04279494285583496,0.06236410140991211,0.10515904426574708,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__benchmark__benchmark_km.rds,54,12,29,13,NA,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-28.930367157957992,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.1929759979248047,0.05032086372375488,0.24329686164855957,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__nocure_exp.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-27.98608244651252,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.13357996940612793,0.03172492980957031,0.16530489921569824,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__nocure_weibull.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-27.94893674775493,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.18270611763000488,0.03501391410827637,0.21772003173828125,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__nocure_lnorm.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-28.106680778152896,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.12667417526245117,0.0330209732055664,0.15969514846801758,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__nocure_llogis.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,survival::coxph,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,coxph,fitted_new,new_fit,-42.314673645105984,coxph,prediction_ok,coxph,NA,0,NA,0,NA,0,NA,0,0.00987482070922851,0.08574414253234863,0.09561896324157716,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__nocure_coxph.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,custom_mle,TRUE,nocure_exp,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-27.45842733222396,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.5741689205169678,0.05227494239807129,0.6264438629150391,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__cure_exp.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,custom_mle,TRUE,nocure_weibull,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-27.39162099464314,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.619873046875,0.03971505165100098,0.659588098526001,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__cure_weibull.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,custom_mle,TRUE,nocure_lnorm,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-26.678635854084295,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.7158379554748535,0.0356299877166748,0.7514679431915283,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__cure_lnorm.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,custom_mle,TRUE,nocure_llogis,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-27.144505204877973,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.6427700519561768,0.03260684013366699,0.67537689208984375,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__base__cure_llogis.rds,54,12,29,13,age_s + sex_num,age_s + sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
