rep_id,n_model_rows,n_fail_total,n_fit_fail,n_prediction_fail,n_warning_rows,fit_success_rate,prediction_success_rate,overall_success_rate,failed_dataset_set,failed_model_set,failure_signature,pnu_fail_n,snu_fail_n,merged_fail_n
1,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
2,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
3,91,1,1,0,1,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
4,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
5,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
6,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
7,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
8,91,1,1,0,7,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
9,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
10,91,2,2,0,5,0.978021978021978,0.978021978021978,0.978021978021978,PNU,cure_aft_sensitivity|cure_coxlatency,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,2,0,0
11,91,1,1,0,1,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
12,91,0,0,0,4,1,1,1,,,NO_FAILURE,0,0,0
13,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
14,91,0,0,0,5,1,1,1,,,NO_FAILURE,0,0,0
15,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
16,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
17,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
18,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
19,91,1,1,0,7,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
20,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
21,91,1,1,0,1,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
22,91,1,1,0,4,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::base::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
23,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
24,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
25,91,1,1,0,2,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
26,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
27,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
28,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
29,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
30,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
31,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
32,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
33,91,1,1,0,7,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
34,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
35,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
36,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
37,91,1,1,0,4,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
38,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
39,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
40,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
41,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
42,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
43,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
44,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
45,91,1,1,0,3,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
46,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
47,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
48,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
49,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
50,91,0,0,0,7,1,1,1,,,NO_FAILURE,0,0,0
51,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
52,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
53,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
54,91,0,0,0,4,1,1,1,,,NO_FAILURE,0,0,0
55,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
56,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
57,91,2,2,0,5,0.978021978021978,0.978021978021978,0.978021978021978,PNU|SNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed | SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,1,0
58,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
59,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
60,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
61,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
62,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
63,91,0,0,0,5,1,1,1,,,NO_FAILURE,0,0,0
64,91,0,0,0,4,1,1,1,,,NO_FAILURE,0,0,0
65,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
66,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
67,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
68,91,1,1,0,5,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
69,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
70,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
71,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
72,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
73,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
74,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
75,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
76,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
77,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
78,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
79,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
80,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
81,91,1,1,0,5,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
82,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
83,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
84,91,1,1,0,1,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
85,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
86,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
87,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
88,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
89,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
90,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
91,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
92,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
93,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
94,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
95,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
96,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
97,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
98,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
99,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
100,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
101,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
102,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
103,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
104,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
105,91,1,1,0,1,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
106,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
107,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
108,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
109,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
110,91,1,1,0,2,0.989010989010989,0.989010989010989,0.989010989010989,merged,cure_aft_sensitivity,merged::interaction_siteadjusted::cure_aft_sensitivity::fit_and_prediction_failed,0,0,1
111,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
112,91,2,2,0,10,0.978021978021978,0.978021978021978,0.978021978021978,PNU|SNU,cure_aft_sensitivity|cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed | SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,1,0
113,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
114,91,1,1,0,5,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
115,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
116,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
117,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
118,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
119,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
120,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
121,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
122,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
123,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
124,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
125,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
126,91,1,1,0,3,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
127,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
128,91,0,0,0,4,1,1,1,,,NO_FAILURE,0,0,0
129,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
130,91,0,0,0,5,1,1,1,,,NO_FAILURE,0,0,0
131,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
132,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
133,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
134,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
135,91,1,1,0,0,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
136,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
137,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
138,91,1,1,0,3,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_aft_sensitivity,PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,0,0
139,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
140,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
141,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
142,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
143,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
144,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
145,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
146,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
147,91,0,0,0,3,1,1,1,,,NO_FAILURE,0,0,0
148,91,0,0,0,4,1,1,1,,,NO_FAILURE,0,0,0
149,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
150,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
151,91,0,0,0,2,1,1,1,,,NO_FAILURE,0,0,0
152,91,0,0,0,0,1,1,1,,,NO_FAILURE,0,0,0
153,91,1,1,0,5,0.989010989010989,0.989010989010989,0.989010989010989,PNU,cure_coxlatency,PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,0,0
154,91,0,0,0,5,1,1,1,,,NO_FAILURE,0,0,0
155,91,0,0,0,1,1,1,1,,,NO_FAILURE,0,0,0
