dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,matched_nocure_model_id,horizon_year,threshold,n_subject,positive_classification_rate,weighted_tp,weighted_fn,weighted_fp,weighted_tn,sensitivity,specificity,ppv,false_positive_weighted_per_n,false_positive_burden_non_event,false_positive_burden_primary,false_positive_burden_all,unnecessary_high_risk_per_100_population,unnecessary_high_risk_per_100_non_event,net_benefit,horizon_support,boot_n_success_fp_primary,boot_success_rate_fp_primary,false_positive_burden_primary_ci_lower,false_positive_burden_primary_ci_upper,boot_n_success_fp_weighted,boot_success_rate_fp_weighted,false_positive_weighted_per_n_ci_lower,false_positive_weighted_per_n_ci_upper,boot_n_success_nb,boot_success_rate_nb,net_benefit_ci_lower,net_benefit_ci_upper,false_positive_burden_ci_lower,false_positive_burden_ci_upper,threshold_projection_suppressed_flag,threshold_reporting_status,threshold_suppression_reason,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1,0.05,54,1,0.16985825872534027,0,0.83014174127466,0,1,0,0.16985825872534024,0.83014174127466,1,1,0.83014174127466,83.014174127466,100,0.1261665881319371,primary_supported,984,0.984,0.3220910138248848,1,984,0.984,0.2840633639337343,0.88784504231743,984,0.984,0.03253838923175307,0.2539890944194685,0.3220910138248848,1,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1,0.1,54,0.9629629629629628,0.16985825872534027,0,0.7708459026121843,0.05929583866247571,1,0.07142857142857142,0.1805650125793322,0.7708459026121843,0.9285714285714286,0.9285714285714286,0.7708459026121843,77.08459026121844,92.85714285714286,0.08420871399065312,primary_supported,984,0.984,0.2,1,984,0.984,0.17130147567935589,0.8470030445044983,984,0.984,0.00409016754850088,0.22225149091891663,0.2,1,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1,0.15,54,0.7592592592592593,0.15133974020682175,0.01851851851851851,0.5040146286310436,0.3261271126436164,0.8909766374771164,0.3928571428571428,0.2309281015020794,0.5040146286310436,0.6071428571428572,0.6071428571428572,0.5040146286310436,50.40146286310436,60.71428571428572,0.06239598221310817,primary_supported,984,0.984,0.08977272727272728,1,984,0.984,0.08202623110641981,0.7733324344752914,984,0.984,-0.01435084164384708,0.1917441607966024,0.08977272727272728,1,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1,0.2,54,0.6111111111111112,0.15133974020682175,0.01851851851851851,0.38542295130609217,0.4447187899685678,0.8909766374771164,0.5357142857142857,0.281949067250291,0.38542295130609217,0.4642857142857144,0.4642857142857144,0.38542295130609217,38.54229513060922,46.42857142857144,0.05498400238029871,primary_supported,984,0.984,0,0.8599025974025971,984,0.984,0,0.6589925126250177,984,0.984,-0.03549941117680454,0.17498213450653782,0,0.8599025974025971,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,2,0.05,54,1,0.29881891691530177,0,0.7011810830846984,0,1,0,0.2988189169153017,0.7011810830846984,1,1,0.7011810830846984,70.11810830846984,100,0.2619146493845282,secondary,601,0.601,NA,NA,984,0.984,0,0.8276284684644055,984,0.984,0.11787034074548076,0.42853745422874834,NA,NA,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,2,0.1,54,1,0.29881891691530177,0,0.7011810830846984,0,1,0,0.2988189169153017,0.7011810830846984,1,1,0.7011810830846984,70.11810830846984,100,0.2209099076836686,secondary,601,0.601,NA,NA,984,0.984,0,0.8221880329390028,984,0.984,0.0670449938026429,0.4271650028894998,NA,NA,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,2,0.15,54,1,0.29881891691530177,0,0.7011810830846984,0,1,0,0.2988189169153017,0.7011810830846984,1,1,0.7011810830846984,70.11810830846984,100,0.1750810787238844,secondary,601,0.601,NA,NA,984,0.984,0,0.8151559778967342,984,0.984,0.00176901374270659,0.4243376797661213,NA,NA,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,2,0.2,54,0.7592592592592593,0.2495121744758824,0.04930674243941936,0.7011810830846984,0,0.8349945748133643,0,0.26245287056743727,0.7011810830846984,1,1,0.7011810830846984,70.11810830846984,100,0.07421690370470782,secondary,601,0.601,NA,NA,984,0.984,0,0.7963533014614681,984,0.984,-0.05275955812877111,0.40154874204439206,NA,NA,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,3,0.05,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,secondary,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,3,0.1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,secondary,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
