rep_id,dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,matched_nocure_model_id,failure_type,fit_status,prediction_status,overall_status,convergence_code,warning_count_total,primary_error_message,primary_warning_message
3,PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,인자 mu는 반드시 비어있지 않은 수치형 벡터이어야 합니다,NA
8,PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,파라미터의 초기값으로 함수를 계산할 수는 없습니다,NA
10,PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,파라미터의 초기값으로 함수를 계산할 수는 없습니다,NA
10,PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,1,인자 mu는 반드시 비어있지 않은 수치형 벡터이어야 합니다,Loglik converged before variable  2 ; coefficient may be infinite. 
11,PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,TRUE/FALSE가 필요한 곳에 값이 없습니다,NA
15,PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,파라미터의 초기값으로 함수를 계산할 수는 없습니다,NA
19,PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,1,TRUE/FALSE가 필요한 곳에 값이 없습니다,"Loglik converged before variable  2,3 ; coefficient may be infinite. "
21,PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,파라미터의 초기값으로 함수를 계산할 수는 없습니다,NA
22,PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,1,파라미터의 초기값으로 함수를 계산할 수는 없습니다,glm.fit: 알고리즘이 수렴하지 않았습니다
25,PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,fit_and_prediction_failed,failed,not_attempted,fit_failed,NA,0,파라미터의 초기값으로 함수를 계산할 수는 없습니다,NA
