failure_signature,n_replicates,n_replicates_with_failures,mean_failures_per_replicate,min_rep_id,max_rep_id,example_rep_ids
NO_FAILURE,799,0,0,1,1000,1|2|4|5|6|7|9|12|13|14|16|17|18|20|23|24|26|27|28|29
PNU::interaction::cure_coxlatency::fit_and_prediction_failed,80,80,1,3,988,3|11|19|33|45|68|70|81|105|114|126|135|153|165|167|173|177|192|211|220
PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,44,44,1,8,935,8|15|21|25|37|42|78|84|109|116|138|190|203|210|214|261|287|293|317|329
SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,16,16,1,156,850,156|157|186|187|266|328|421|463|522|532|558|563|570|588|726|850
PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,10,10,2,10,930,10|280|301|302|445|448|491|653|916|930
PNU::base::cure_coxlatency::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,7,7,2,161,762,161|489|584|635|662|743|762
PNU::base::cure_aft_sensitivity::fit_and_prediction_failed,6,6,1,22,968,22|195|250|787|818|968
merged::interaction_siteadjusted::cure_aft_sensitivity::fit_and_prediction_failed,6,6,1,110,755,110|289|318|440|623|755
merged::interaction_sitefree::cure_aft_sensitivity::fit_and_prediction_failed,6,6,1,270,938,270|481|514|641|767|938
PNU::interaction::cure_coxlatency::fit_and_prediction_failed | SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,4,4,2,112,870,112|776|856|870
PNU::base::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,3,3,3,238,573,238|526|573
PNU::base::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,3,3,2,354,658,354|417|658
PNU::base::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,3,3,2,397,673,397|510|673
PNU::base::cure_coxlatency::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed | SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,2,2,3,955,997,955|997
PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed | SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,2,2,2,57,657,57|657
merged::interaction_siteadjusted::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,2,2,2,598,799,598|799
PNU::base::cure_coxlatency::fit_and_prediction_failed,2,2,1,507,669,507|669
merged::interaction_siteadjusted::cure_aft_sensitivity::fit_and_prediction_failed | merged::interaction_sitefree::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,1,3,763,763,763
merged::interaction_sitefree::cure_aft_sensitivity::fit_and_prediction_failed | PNU::base::cure_coxlatency::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,1,3,226,226,226
PNU::base::cure_aft_sensitivity::fit_and_prediction_failed | SNU::interaction::cure_aft_sensitivity::fit_and_prediction_failed,1,1,2,628,628,628
merged::interaction_siteadjusted::cure_aft_sensitivity::fit_and_prediction_failed | merged::interaction_sitefree::cure_aft_sensitivity::fit_and_prediction_failed,1,1,2,971,971,971
merged::interaction_sitefree::cure_aft_sensitivity::fit_and_prediction_failed | PNU::interaction::cure_coxlatency::fit_and_prediction_failed,1,1,2,300,300,300
