shard_id,rep_start,rep_end,n_rep,completed_reps,pending_reps,status,worker_session_id,claimed_at,updated_at,finished_at,has_state_file,has_manifest_file,has_done_flag,lock_active
1,1,20,20,20,0,done,20260324214843.503909_pid43248_YIDO,2026-03-24 21:53:05.954615,2026-03-25 00:06:17.905783,2026-03-25 00:06:17.903882,TRUE,TRUE,TRUE,FALSE
2,21,40,20,20,0,done,20260324214852.606131_pid37468_YIDO,2026-03-24 21:53:09.445624,2026-03-24 23:56:22.387368,2026-03-24 23:56:22.385113,TRUE,TRUE,TRUE,FALSE
3,41,60,20,20,0,done,20260324214857.807724_pid26448_YIDO,2026-03-24 21:53:09.510051,2026-03-25 00:05:48.665402,2026-03-25 00:05:48.663454,TRUE,TRUE,TRUE,FALSE
4,61,80,20,20,0,done,20260324215020.572685_pid33628_YIDO,2026-03-24 21:53:10.772626,2026-03-25 00:09:28.675565,2026-03-25 00:09:28.673598,TRUE,TRUE,TRUE,FALSE
5,81,100,20,20,0,done,20260324214848.968822_pid25948_YIDO,2026-03-24 21:53:10.924188,2026-03-24 23:51:31.540704,2026-03-24 23:51:31.538626,TRUE,TRUE,TRUE,FALSE
6,101,120,20,20,0,done,20260324215010.438985_pid27500_YIDO,2026-03-24 21:53:11.397941,2026-03-24 23:53:39.662274,2026-03-24 23:53:39.660416,TRUE,TRUE,TRUE,FALSE
7,121,140,20,20,0,done,20260324215016.067435_pid39844_YIDO,2026-03-24 21:53:11.992654,2026-03-24 23:58:28.150588,2026-03-24 23:58:28.147902,TRUE,TRUE,TRUE,FALSE
8,141,160,20,20,0,done,20260324215414.305715_pid13160_YIDO,2026-03-24 21:54:16.987264,2026-03-24 23:58:57.608787,2026-03-24 23:58:57.606337,TRUE,TRUE,TRUE,FALSE
9,161,180,20,20,0,done,20260324215526.877235_pid44700_YIDO,2026-03-24 21:55:30.355471,2026-03-25 00:12:07.764795,2026-03-25 00:12:07.76303,TRUE,TRUE,TRUE,FALSE
10,181,200,20,20,0,done,20260324215620.246782_pid25452_YIDO,2026-03-24 21:56:24.343427,2026-03-25 00:04:18.397485,2026-03-25 00:04:18.395226,TRUE,TRUE,TRUE,FALSE
