dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,component,term,table_name,metric_name,n_replicates_nonmissing,mean_value,sd_value,min_value,q25_value,median_value,q75_value,max_value,matched_nocure_model_id,horizon_year,threshold,metric_key,metric_cell_id
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,54.46677922467955,806.7960602215942,-496.55179791204773,-9.83175167121588,-0.42053262543944175,3.137609460497394,17579.232866053626,NA,NA,NA,coefficients | merged | base_siteadjusted | cure_llogis | incidence_uncured_logit | sex_num | estimate,1
SNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,62.333403858315855,791.6263917592395,-99.93851105979915,-0.3633328875855318,1.1363026731487358,12.657488968382687,21169.551254773636,NA,NA,NA,coefficients | SNU | base | cure_weibull | incidence_uncured_logit | sex_num | estimate,2
SNU,interaction,site_free,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,118.73142437664656,649.38218061409,-137.6799401387748,2.8989709558331676,7.305164029811584,149.33163783070677,19789.151681173505,NA,NA,NA,coefficients | SNU | interaction | cure_lnorm | incidence_uncured_logit | age_s:sex_num | estimate,3
SNU,base,site_free,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,101.0749558112218,580.4016894528617,-393.1239228193974,-7.840796881839244,1.3224431773154401,15.976868207433885,12343.8620305136,NA,NA,NA,coefficients | SNU | base | cure_lnorm | incidence_uncured_logit | sex_num | estimate,4
SNU,base,site_free,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,73.95780337171627,451.8312136532217,-55.59546683071057,-0.47308322801638525,1.9389867360852548,14.742808436985941,9627.254945563891,NA,NA,NA,coefficients | SNU | base | cure_llogis | incidence_uncured_logit | sex_num | estimate,5
SNU,interaction,site_free,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,29.386794973340233,379.7331528823331,-322.29025192328663,-1.3665504953072944,0.7981347668598604,10.050817583641894,11586.09906631198,NA,NA,NA,coefficients | SNU | interaction | cure_lnorm | incidence_uncured_logit | sex_num | estimate,6
PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,937,16.80397225406612,247.680814484687,-994.0011805114876,-1.5825785031373234,0.9554513722537676,3.2092162833386277,2224.6708429380265,NA,NA,NA,coefficients | PNU | interaction | cure_aft_sensitivity | incidence_uncured_logit | age_s:sex_num | estimate,7
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,18.506124910598782,242.09769843955394,-66.25182951455918,-9.128611227263349,-0.2711286687371955,2.410511680142041,6058.161935061028,NA,NA,NA,coefficients | merged | base_siteadjusted | cure_weibull | incidence_uncured_logit | sex_num | estimate,8
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,20.179600089166854,221.5355708633782,-253.24073498968002,-9.52232051920181,-0.6180912643226386,1.731756196178396,5603.006244374665,NA,NA,NA,coefficients | merged | base_siteadjusted | cure_lnorm | incidence_uncured_logit | sex_num | estimate,9
SNU,interaction,site_free,age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,46.537124033167466,212.64319455398663,-354.868056071066,1.5479089102643713,2.816848242581073,7.865567697724794,3561.5054347550563,NA,NA,NA,coefficients | SNU | interaction | cure_weibull | incidence_uncured_logit | age_s:sex_num | estimate,10
merged,base_sitefree,site_free,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,13.026511950687818,184.9168305523221,-150.55904113482802,-0.8115504741528685,0.6893195893564492,9.293466650581411,5518.460085945183,NA,NA,NA,coefficients | merged | base_sitefree | cure_llogis | incidence_uncured_logit | sex_num | estimate,11
SNU,interaction,site_free,age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,61.886267764876386,183.09699421450412,-280.0135676714255,2.000657861909558,3.5714587530285704,24.195600385983695,2375.983732352041,NA,NA,NA,coefficients | SNU | interaction | cure_llogis | incidence_uncured_logit | age_s:sex_num | estimate,12
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,incidence_uncured_logit,sex_num,coefficients,estimate,1000,-10.89316690057086,173.54582962241767,-2742.420724587152,-2.989018672707598,-0.779877178978169,0.823842990814355,1895.2860571197984,NA,NA,NA,coefficients | PNU | base | cure_exp | incidence_uncured_logit | sex_num | estimate,13
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,incidence_uncured_logit,age_s,coefficients,estimate,1000,15.504334235361963,171.839510859606,-854.8243828048664,0.4830467517015438,1.4346915337851995,2.865394619829069,2739.638861219447,NA,NA,NA,coefficients | PNU | base | cure_exp | incidence_uncured_logit | age_s | estimate,14
merged,interaction_sitefree,site_free,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,53.43715354206416,169.33814944724543,-257.67264945750077,-0.06492323437332684,1.2403999268793955,8.869885530235912,3351.3200855160294,NA,NA,NA,coefficients | merged | interaction_sitefree | cure_lnorm | incidence_uncured_logit | age_s:sex_num | estimate,15
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,age_s,coefficients,estimate,1000,15.381198204447468,156.5330735868923,-1168.5963462209465,-0.8423299150144841,0.4481232081307293,1.5532719567168078,1078.8349076051502,NA,NA,NA,coefficients | merged | interaction_siteadjusted | cure_lnorm | incidence_uncured_logit | age_s | estimate,16
SNU,interaction,site_free,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,age_s,coefficients,estimate,1000,-60.99101695591628,153.10061427061112,-1140.5913982973057,-48.24675819018906,-3.835927864883853,-1.935435950214842,601.4094828423392,NA,NA,NA,coefficients | SNU | interaction | cure_lnorm | incidence_uncured_logit | age_s | estimate,17
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,52.800590918681316,149.13191913334836,-662.2720451476332,-0.23581574690787047,0.938074352777502,8.283081531880311,1814.0733813337904,NA,NA,NA,coefficients | merged | interaction_siteadjusted | cure_lnorm | incidence_uncured_logit | age_s:sex_num | estimate,18
merged,interaction_sitefree,site_free,age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,27.185341213190394,146.40958888782436,-357.5963476862004,-0.26337771903305773,0.6421546365292459,3.3280093784067706,3799.994412562891,NA,NA,NA,coefficients | merged | interaction_sitefree | cure_llogis | incidence_uncured_logit | age_s:sex_num | estimate,19
merged,interaction_siteadjusted,site_adjusted,age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,age_s:sex_num,coefficients,estimate,1000,23.08856388936594,134.16444927520243,-807.2618249199702,-0.22891066125034604,0.6718330756332266,2.6397458912255516,3070.201480356968,NA,NA,NA,coefficients | merged | interaction_siteadjusted | cure_weibull | incidence_uncured_logit | age_s:sex_num | estimate,20
