dataset,model_id,latency_family,formula_anchor,incidence_site_indicator,latency_site_indicator,latency_interaction_indicator,admissible_flag,admissibility_reasons,screening_flag,screening_detail,fit_reused_flag,prior_tail_warning_flag_main,prior_tail_warning_detail_main,prior_tail_warning_flag_wider_latency,prior_tail_warning_detail_wider_latency,prior_tail_warning_flag_any,prior_tail_warning_detail_any,prior_tail_warning_flag,prior_tail_warning_detail
merged,MERGED-Isite-L0S0-E,exponential,base,TRUE,FALSE,FALSE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S0-LL,loglogistic,base,TRUE,FALSE,FALSE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S0-LN,lognormal,base,TRUE,FALSE,FALSE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S0-W,weibull,base,TRUE,FALSE,FALSE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S1-E,exponential,site_added,TRUE,TRUE,FALSE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S1-LL,loglogistic,site_added,TRUE,TRUE,FALSE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S1-LN,lognormal,site_added,TRUE,TRUE,FALSE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S1-W,weibull,site_added,TRUE,TRUE,FALSE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S0-E,exponential,interaction,TRUE,FALSE,TRUE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S0-LL,loglogistic,interaction,TRUE,FALSE,TRUE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S0-LN,lognormal,interaction,TRUE,FALSE,TRUE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S0-W,weibull,interaction,TRUE,FALSE,TRUE,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-E,exponential,site_interaction,TRUE,TRUE,TRUE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-LL,loglogistic,site_interaction,TRUE,TRUE,TRUE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-LN,lognormal,site_interaction,TRUE,TRUE,TRUE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-W,weibull,site_interaction,TRUE,TRUE,TRUE,TRUE,NA,equivocal,stage6_site_adjusted:equivocal,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
