dataset,model_id,horizon_year,horizon_support_label,observed_km_risk,posterior_mean_risk,posterior_q025_risk,posterior_q975_risk,absolute_difference,gross_contradiction_flag,support_priority,cohort_reporting_status,cohort_reporting_note,admissible_flag,admissibility_reasons,screening_flag,screening_detail,fit_reused_flag
merged,MERGED-Isite-L0S0-E,1,primary-supported,0.0915201608318277,0.0908927629168415,0.0631868664131833,0.124080400148591,6.27397914986186e-4,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,2,primary-supported,0.153427205366915,0.157330846577309,0.115471991616352,0.203046772571608,0.0039036412103941,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,3,secondary,0.198795898773664,0.207486143246258,0.160877110905836,0.256435415494843,0.00869024447259345,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,4,secondary,0.212736263172291,0.24625886717655,0.19247162099222,0.302840822976328,0.0335226040042594,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,5,secondary,0.23913366657677,0.276806816480283,0.21491440319229,0.33846183158099,0.0376731499035125,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,6,projection,0.274226034156039,0.301257106547752,0.232118546685209,0.376382869766986,0.0270310723917138,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,7,projection,0.274226034156039,0.321090421139959,0.243088629974786,0.406325956554477,0.0468643869839204,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,8,projection,0.350623293718561,0.33736507018017,0.250023553076693,0.435363517702164,0.0132582235383903,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,9,projection,0.350623293718561,0.350854432387365,0.256304210776045,0.463086426696871,2.31138668803976e-4,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-E,10,projection,0.350623293718561,0.362134529933943,0.259946044805465,0.488732556823847,0.0115112362153821,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,1,primary-supported,0.0915201608318277,0.10695093165018,0.0738281836836858,0.145108037240487,0.0154307708183519,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,2,primary-supported,0.153427205366915,0.160438638608601,0.120261505119648,0.208445703751254,0.00701143324168579,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,3,secondary,0.198795898773664,0.199560106298934,0.151414139556838,0.253993076501524,7.64207525270372e-4,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,4,secondary,0.212736263172291,0.230643047348637,0.175622016632841,0.291371834787824,0.0179067841763465,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,5,secondary,0.23913366657677,0.256442705619234,0.196852945271404,0.324087288704157,0.0173090390424642,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,6,projection,0.274226034156039,0.278464732828051,0.213781734765194,0.352949630318409,0.0042386986720121,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,7,projection,0.274226034156039,0.297637708039965,0.224557151082679,0.376515384322435,0.0234116738839263,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,8,projection,0.350623293718561,0.314580276330962,0.234541591028042,0.395718809831957,0.036043017387599,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,9,projection,0.350623293718561,0.329727556776256,0.24790832513929,0.414498099391125,0.0208957369423046,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LL,10,projection,0.350623293718561,0.343398217098274,0.25532855231652,0.431392226584136,0.00722507662028671,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,1,primary-supported,0.0915201608318277,0.112924418372386,0.0826330895187346,0.146382730506384,0.0214042575405582,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,2,primary-supported,0.153427205366915,0.166167961890522,0.127431276078928,0.205989629654971,0.0127407565236076,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,3,secondary,0.198795898773664,0.203048425550158,0.155392128770585,0.249988791867047,0.00425252677649413,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,4,secondary,0.212736263172291,0.231483274931988,0.17747089924328,0.283909511021887,0.0187470117596969,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,5,secondary,0.23913366657677,0.254659330355754,0.198375957827994,0.309258896706425,0.0155256637789845,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,6,projection,0.274226034156039,0.274216898834679,0.212963697084406,0.333912406436102,9.135321359377e-6,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,7,projection,0.274226034156039,0.291121906757221,0.225380207030326,0.354313757302232,0.0168958726011824,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,8,projection,0.350623293718561,0.305994766173566,0.236522128237738,0.372949143088,0.0446285275449948,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,9,projection,0.350623293718561,0.319259137277489,0.246540657044401,0.389838390100152,0.0313641564410721,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-LN,10,projection,0.350623293718561,0.331217865495487,0.254764018524469,0.406914231253248,0.0194054282230738,FALSE,3,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons.",TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-W,1,primary-supported,0.0915201608318277,0.104393427042439,0.0758619519531792,0.138824881811635,0.0128732662106109,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-W,2,primary-supported,0.153427205366915,0.15720599011876,0.117909619572183,0.201738364737332,0.00377878475184534,FALSE,1,reported,Primary-supported horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
merged,MERGED-Isite-L0S0-W,3,secondary,0.198795898773664,0.197253395911064,0.150959318703153,0.247708411608254,0.0015425028626003,FALSE,2,reported,Secondary-support horizon.,TRUE,NA,equivocal,stage6_site_free:equivocal,TRUE
